t,measureStartTime,full,gain,int_idx,state
TSL2591 found
AW9523 found
12105,0,0,0,0,IDLE
12106,0,0,0,0,IDLE
12107,0,0,0,0,IDLE
12108,0,0,0,0,IDLE
12108,0,0,0,0,IDLE
12109,0,0,0,0,IDLE
12110,0,0,0,0,IDLE
12111,0,0,0,0,IDLE
12112,0,0,0,0,IDLE
12113,0,0,0,0,IDLE
12113,0,0,0,0,IDLE
12114,0,0,0,0,IDLE
12115,0,0,0,0,IDLE
12116,0,0,0,0,IDLE
12117,0,0,0,0,IDLE
12118,0,0,0,0,IDLE
12119,0,0,0,0,IDLE
12120,0,0,0,0,IDLE
12121,0,0,0,0,IDLE
12121,0,0,0,0,IDLE
12122,0,0,0,0,IDLE
12123,0,0,0,0,IDLE
12124,0,0,0,0,IDLE
12125,0,0,0,0,IDLE
12126,0,0,0,0,IDLE
12127,0,0,0,0,IDLE
12127,0,0,0,0,IDLE
12128,0,0,0,0,IDLE
12129,0,0,0,0,IDLE
12130,0,0,0,0,IDLE
12131,0,0,0,0,IDLE
12132,0,0,0,0,IDLE
12133,0,0,0,0,IDLE
12134,0,0,0,0,IDLE
12135,0,0,0,0,IDLE
12136,0,0,0,0,IDLE
12137,0,0,0,0,IDLE
12138,0,0,0,0,IDLE
12139,0,0,0,0,IDLE
12140,0,0,0,0,IDLE
12141,0,0,0,0,IDLE
12142,0,0,0,0,IDLE
12143,0,0,0,0,IDLE
12144,0,0,0,0,IDLE
12145,0,0,0,0,IDLE
12146,0,0,0,0,IDLE
12147,0,0,0,0,IDLE
12148,0,0,0,0,IDLE
12149,0,0,0,0,IDLE
12150,0,0,0,0,IDLE
12151,0,0,0,0,IDLE
12151,0,0,0,0,IDLE
12153,0,0,0,0,IDLE
12154,0,0,0,0,IDLE
12155,0,0,0,0,IDLE
12155,0,0,0,0,IDLE
12156,0,0,0,0,IDLE
12158,0,0,0,0,IDLE
12159,0,0,0,0,IDLE
12160,0,0,0,0,IDLE
12161,0,0,0,0,IDLE
12162,0,0,0,0,IDLE
12163,0,0,0,0,IDLE
12164,0,0,0,0,IDLE
12165,0,0,0,0,IDLE
12166,0,0,0,0,IDLE
12167,0,0,0,0,IDLE
12168,0,0,0,0,IDLE
12168,0,0,0,0,IDLE
12169,0,0,0,0,IDLE
12170,0,0,0,0,IDLE
12171,0,0,0,0,IDLE
12172,0,0,0,0,IDLE
12173,0,0,0,0,IDLE
12175,0,0,0,0,IDLE
12175,0,0,0,0,IDLE
12176,0,0,0,0,IDLE
12177,0,0,0,0,IDLE
12178,0,0,0,0,IDLE
12179,0,0,0,0,IDLE
12180,0,0,0,0,IDLE
12180,0,0,0,0,IDLE
12181,0,0,0,0,IDLE
12182,0,0,0,0,IDLE
12183,0,0,0,0,IDLE
12184,0,0,0,0,IDLE
12185,0,0,0,0,IDLE
12186,0,0,0,0,IDLE
12187,0,0,0,0,IDLE
12188,0,0,0,0,IDLE
12189,0,0,0,0,IDLE
12190,0,0,0,0,IDLE
12191,0,0,0,0,IDLE
12192,0,0,0,0,IDLE
12192,0,0,0,0,IDLE
12193,0,0,0,0,IDLE
12194,0,0,0,0,IDLE
12195,0,0,0,0,IDLE
12196,0,0,0,0,IDLE
12197,0,0,0,0,IDLE
12198,0,0,0,0,IDLE
12199,0,0,0,0,IDLE
12200,0,0,0,0,IDLE
12200,0,0,0,0,IDLE
12201,0,0,0,0,IDLE
12202,0,0,0,0,IDLE
12204,0,0,0,0,IDLE
12205,0,0,0,0,IDLE
12206,0,0,0,0,IDLE
12206,0,0,0,0,IDLE
12207,0,0,0,0,IDLE
12208,0,0,0,0,IDLE
12209,0,0,0,0,IDLE
12210,0,0,0,0,IDLE
12211,0,0,0,0,IDLE
12211,0,0,0,0,IDLE
12212,0,0,0,0,IDLE
12213,0,0,0,0,IDLE
12214,0,0,0,0,IDLE
12215,0,0,0,0,IDLE
12216,0,0,0,0,IDLE
12217,0,0,0,0,IDLE
12218,0,0,0,0,IDLE
12218,0,0,0,0,IDLE
12220,0,0,0,0,IDLE
12220,0,0,0,0,IDLE
12221,0,0,0,0,IDLE
12222,0,0,0,0,IDLE
12224,0,0,0,0,IDLE
12224,0,0,0,0,IDLE
12225,0,0,0,0,IDLE
12226,0,0,0,0,IDLE
12227,0,0,0,0,IDLE
12228,0,0,0,0,IDLE
12229,0,0,0,0,IDLE
12230,0,0,0,0,IDLE
12231,0,0,0,0,IDLE
12231,0,0,0,0,IDLE
12232,0,0,0,0,IDLE
12233,0,0,0,0,IDLE
12234,0,0,0,0,IDLE
12235,0,0,0,0,IDLE
12236,0,0,0,0,IDLE
12237,0,0,0,0,IDLE
12238,0,0,0,0,IDLE
12239,0,0,0,0,IDLE
12240,0,0,0,0,IDLE
12241,0,0,0,0,IDLE
12242,0,0,0,0,IDLE
12243,0,0,0,0,IDLE
12244,0,0,0,0,IDLE
12244,0,0,0,0,IDLE
12245,0,0,0,0,IDLE
12246,0,0,0,0,IDLE
12247,0,0,0,0,IDLE
12248,0,0,0,0,IDLE
12249,0,0,0,0,IDLE
12250,0,0,0,0,IDLE
12251,0,0,0,0,IDLE
12252,0,0,0,0,IDLE
12253,0,0,0,0,IDLE
12254,0,0,0,0,IDLE
12255,0,0,0,0,IDLE
12255,0,0,0,0,IDLE
12256,0,0,0,0,IDLE
12257,0,0,0,0,IDLE
12258,0,0,0,0,IDLE
12259,0,0,0,0,IDLE
12260,0,0,0,0,IDLE
12261,0,0,0,0,IDLE
12261,0,0,0,0,IDLE
12262,0,0,0,0,IDLE
12263,0,0,0,0,IDLE
12264,0,0,0,0,IDLE
12265,0,0,0,0,IDLE
12266,0,0,0,0,IDLE
12267,0,0,0,0,IDLE
12267,0,0,0,0,IDLE
12268,0,0,0,0,IDLE
12269,0,0,0,0,IDLE
12270,0,0,0,0,IDLE
12271,0,0,0,0,IDLE
12272,0,0,0,0,IDLE
12273,0,0,0,0,IDLE
12274,0,0,0,0,IDLE
12275,0,0,0,0,IDLE
12276,0,0,0,0,IDLE
12276,0,0,0,0,IDLE
12277,0,0,0,0,IDLE
12278,0,0,0,0,IDLE
12279,0,0,0,0,IDLE
12280,0,0,0,0,IDLE
12281,0,0,0,0,IDLE
12281,0,0,0,0,IDLE
12282,0,0,0,0,IDLE
12283,0,0,0,0,IDLE
12284,0,0,0,0,IDLE
12285,0,0,0,0,IDLE
12286,0,0,0,0,IDLE
12287,0,0,0,0,IDLE
12288,0,0,0,0,IDLE
12289,0,0,0,0,IDLE
12289,0,0,0,0,IDLE
12290,0,0,0,0,IDLE
12291,0,0,0,0,IDLE
12292,0,0,0,0,IDLE
12293,0,0,0,0,IDLE
12294,0,0,0,0,IDLE
12295,0,0,0,0,IDLE
12295,0,0,0,0,IDLE
12296,0,0,0,0,IDLE
12297,0,0,0,0,IDLE
12298,0,0,0,0,IDLE
12299,0,0,0,0,IDLE
12300,0,0,0,0,IDLE
12301,0,0,0,0,IDLE
12302,0,0,0,0,IDLE
12303,0,0,0,0,IDLE
12304,0,0,0,0,IDLE
12305,0,0,0,0,IDLE
12305,0,0,0,0,IDLE
12306,0,0,0,0,IDLE
12307,0,0,0,0,IDLE
12308,0,0,0,0,IDLE
12309,0,0,0,0,IDLE
12310,0,0,0,0,IDLE
12311,0,0,0,0,IDLE
12311,0,0,0,0,IDLE
12312,0,0,0,0,IDLE
12313,0,0,0,0,IDLE
12314,0,0,0,0,IDLE
12315,0,0,0,0,IDLE
12316,0,0,0,0,IDLE
12317,0,0,0,0,IDLE
12317,0,0,0,0,IDLE
12318,0,0,0,0,IDLE
12319,0,0,0,0,IDLE
12320,0,0,0,0,IDLE
12321,0,0,0,0,IDLE
12322,0,0,0,0,IDLE
12323,0,0,0,0,IDLE
12324,0,0,0,0,IDLE
12324,0,0,0,0,IDLE
12325,0,0,0,0,IDLE
12326,0,0,0,0,IDLE
12327,0,0,0,0,IDLE
12328,0,0,0,0,IDLE
12329,0,0,0,0,IDLE
12330,0,0,0,0,IDLE
12330,0,0,0,0,IDLE
12331,0,0,0,0,IDLE
12332,0,0,0,0,IDLE
12333,0,0,0,0,IDLE
12334,0,0,0,0,IDLE
12335,0,0,0,0,IDLE
12336,0,0,0,0,IDLE
12337,0,0,0,0,IDLE
12337,0,0,0,0,IDLE
12338,0,0,0,0,IDLE
12339,0,0,0,0,IDLE
12340,0,0,0,0,IDLE
12341,0,0,0,0,IDLE
12342,0,0,0,0,IDLE
12343,0,0,0,0,IDLE
12343,0,0,0,0,IDLE
12344,0,0,0,0,IDLE
12345,0,0,0,0,IDLE
12346,0,0,0,0,IDLE
12347,0,0,0,0,IDLE
12348,0,0,0,0,IDLE
12349,0,0,0,0,IDLE
12350,0,0,0,0,IDLE
12350,0,0,0,0,IDLE
12351,0,0,0,0,IDLE
12353,0,0,0,0,IDLE
12354,0,0,0,0,IDLE
12354,0,0,0,0,IDLE
12355,0,0,0,0,IDLE
12356,0,0,0,0,IDLE
12357,0,0,0,0,IDLE
12358,0,0,0,0,IDLE
12359,0,0,0,0,IDLE
12360,0,0,0,0,IDLE
12361,0,0,0,0,IDLE
12361,0,0,0,0,IDLE
12362,0,0,0,0,IDLE
12363,0,0,0,0,IDLE
12364,0,0,0,0,IDLE
12365,0,0,0,0,IDLE
12366,0,0,0,0,IDLE
12367,0,0,0,0,IDLE
12368,0,0,0,0,IDLE
12369,0,0,0,0,IDLE
12370,0,0,0,0,IDLE
12370,0,0,0,0,IDLE
12371,0,0,0,0,IDLE
12372,0,0,0,0,IDLE
12373,0,0,0,0,IDLE
12374,0,0,0,0,IDLE
12375,0,0,0,0,IDLE
12376,0,0,0,0,IDLE
12377,0,0,0,0,IDLE
12378,0,0,0,0,IDLE
12379,0,0,0,0,IDLE
12379,0,0,0,0,IDLE
12380,0,0,0,0,IDLE
12381,0,0,0,0,IDLE
12382,0,0,0,0,IDLE
12383,0,0,0,0,IDLE
12384,0,0,0,0,IDLE
12385,0,0,0,0,IDLE
12386,0,0,0,0,IDLE
12387,0,0,0,0,IDLE
12388,0,0,0,0,IDLE
12389,0,0,0,0,IDLE
12390,0,0,0,0,IDLE
12391,0,0,0,0,IDLE
12392,0,0,0,0,IDLE
12393,0,0,0,0,IDLE
12394,0,0,0,0,IDLE
12394,0,0,0,0,IDLE
12395,0,0,0,0,IDLE
12396,0,0,0,0,IDLE
12397,0,0,0,0,IDLE
12398,0,0,0,0,IDLE
12399,0,0,0,0,IDLE
12400,0,0,0,0,IDLE
12401,0,0,0,0,IDLE
12402,0,0,0,0,IDLE
12403,0,0,0,0,IDLE
12404,0,0,0,0,IDLE
12405,0,0,0,0,IDLE
12406,0,0,0,0,IDLE
12407,0,0,0,0,IDLE
12408,0,0,0,0,IDLE
12409,0,0,0,0,IDLE
12410,0,0,0,0,IDLE
12411,0,0,0,0,IDLE
12412,0,0,0,0,IDLE
12412,0,0,0,0,IDLE
12413,0,0,0,0,IDLE
12414,0,0,0,0,IDLE
12415,0,0,0,0,IDLE
12416,0,0,0,0,IDLE
12417,0,0,0,0,IDLE
12418,0,0,0,0,IDLE
12419,0,0,0,0,IDLE
12420,0,0,0,0,IDLE
12421,0,0,0,0,IDLE
12422,0,0,0,0,IDLE
12423,0,0,0,0,IDLE
12424,0,0,0,0,IDLE
12425,0,0,0,0,IDLE
12426,0,0,0,0,IDLE
12426,0,0,0,0,IDLE
12427,0,0,0,0,IDLE
12428,0,0,0,0,IDLE
12429,0,0,0,0,IDLE
12430,0,0,0,0,IDLE
12431,0,0,0,0,IDLE
12432,0,0,0,0,IDLE
12433,0,0,0,0,IDLE
12434,0,0,0,0,IDLE
12435,0,0,0,0,IDLE
12436,0,0,0,0,IDLE
12437,0,0,0,0,IDLE
12438,0,0,0,0,IDLE
12439,0,0,0,0,IDLE
12440,0,0,0,0,IDLE
12441,0,0,0,0,IDLE
12442,0,0,0,0,IDLE
12443,0,0,0,0,IDLE
12443,0,0,0,0,IDLE
12444,0,0,0,0,IDLE
12445,0,0,0,0,IDLE
12446,0,0,0,0,IDLE
12447,0,0,0,0,IDLE
12448,0,0,0,0,IDLE
12449,0,0,0,0,IDLE
12449,0,0,0,0,IDLE
12450,0,0,0,0,IDLE
12451,0,0,0,0,IDLE
12452,0,0,0,0,IDLE
12453,0,0,0,0,IDLE
12454,0,0,0,0,IDLE
12455,0,0,0,0,IDLE
12456,0,0,0,0,IDLE
12457,0,0,0,0,IDLE
12457,0,0,0,0,IDLE
12458,0,0,0,0,IDLE
12459,0,0,0,0,IDLE
12460,0,0,0,0,IDLE
12461,0,0,0,0,IDLE
12462,0,0,0,0,IDLE
12462,0,0,0,0,IDLE
12463,0,0,0,0,IDLE
12464,0,0,0,0,IDLE
12465,0,0,0,0,IDLE
12466,0,0,0,0,IDLE
12467,0,0,0,0,IDLE
12468,0,0,0,0,IDLE
12469,0,0,0,0,IDLE
12470,0,0,0,0,IDLE
12471,0,0,0,0,IDLE
