t,measureStartTime,full,gain,int_idx,state
TSL2591 found,0,0,0,0,SETUP
AW9523 found,0,0,0,0,SETUP
308433,0,0,0,0,IDLE
308434,0,0,0,0,IDLE
308435,0,0,0,0,IDLE
308436,0,0,0,0,IDLE
308437,0,0,0,0,IDLE
308438,0,0,0,0,IDLE
308439,0,0,0,0,IDLE
308440,0,0,0,0,IDLE
308440,0,0,0,0,IDLE
308442,0,0,0,0,IDLE
308444,0,0,0,0,IDLE
308445,0,0,0,0,IDLE
308446,0,0,0,0,IDLE
308448,0,0,0,0,IDLE
308449,0,0,0,0,IDLE
308451,0,0,0,0,IDLE
308452,0,0,0,0,IDLE
308454,0,0,0,0,IDLE
308455,0,0,0,0,IDLE
308456,0,0,0,0,IDLE
308457,0,0,0,0,IDLE
308457,0,0,0,0,IDLE
308458,0,0,0,0,IDLE
308461,0,0,0,0,IDLE
308467,0,0,0,0,IDLE
308469,0,0,0,0,IDLE
308470,0,0,0,0,IDLE
308472,0,0,0,0,IDLE
308473,0,0,0,0,IDLE
308474,0,0,0,0,IDLE
308476,0,0,0,0,IDLE
308477,0,0,0,0,IDLE
308478,0,0,0,0,IDLE
308479,0,0,0,0,IDLE
308481,0,0,0,0,IDLE
308482,0,0,0,0,IDLE
308483,0,0,0,0,IDLE
308484,0,0,0,0,IDLE
308485,0,0,0,0,IDLE
308486,0,0,0,0,IDLE
308488,0,0,0,0,IDLE
308489,0,0,0,0,IDLE
308491,0,0,0,0,IDLE
308492,0,0,0,0,IDLE
308493,0,0,0,0,IDLE
308495,0,0,0,0,IDLE
308496,0,0,0,0,IDLE
308500,0,0,0,0,IDLE
308501,0,0,0,0,IDLE
308502,0,0,0,0,IDLE
308503,0,0,0,0,IDLE
308504,0,0,0,0,IDLE
308505,0,0,0,0,IDLE
308506,0,0,0,0,IDLE
308507,0,0,0,0,IDLE
308508,0,0,0,0,IDLE
308511,0,0,0,0,IDLE
308512,0,0,0,0,IDLE
308514,0,0,0,0,IDLE
308515,0,0,0,0,IDLE
308516,0,0,0,0,IDLE
308517,0,0,0,0,IDLE
308518,0,0,0,0,IDLE
308519,0,0,0,0,IDLE
308520,0,0,0,0,IDLE
308521,0,0,0,0,IDLE
308523,0,0,0,0,IDLE
308524,0,0,0,0,IDLE
308525,0,0,0,0,IDLE
308526,0,0,0,0,IDLE
308528,0,0,0,0,IDLE
308529,0,0,0,0,IDLE
308530,0,0,0,0,IDLE
