t,measureStartTime,full,gain,int_idx,state
TSL2591 found,0,0,0,0,SETUP
AW9523 found,0,0,0,0,SETUP
19750,0,0,0,0,IDLE
19751,0,0,0,0,IDLE
19752,0,0,0,0,IDLE
19754,0,0,0,0,IDLE
19755,0,0,0,0,IDLE
19756,0,0,0,0,IDLE
19758,0,0,0,0,IDLE
19759,0,0,0,0,IDLE
19760,0,0,0,0,IDLE
19762,0,0,0,0,IDLE
19763,0,0,0,0,IDLE
19764,0,0,0,0,IDLE
19766,0,0,0,0,IDLE
19767,0,0,0,0,IDLE
19768,0,0,0,0,IDLE
19770,0,0,0,0,IDLE
19771,0,0,0,0,IDLE
19772,0,0,0,0,IDLE
19773,0,0,0,0,IDLE
19774,0,0,0,0,IDLE
19776,0,0,0,0,IDLE
19777,0,0,0,0,IDLE
19778,0,0,0,0,IDLE
19780,0,0,0,0,IDLE
19781,0,0,0,0,IDLE
19782,0,0,0,0,IDLE
19783,0,0,0,0,IDLE
19785,0,0,0,0,IDLE
19786,0,0,0,0,IDLE
19787,0,0,0,0,IDLE
19788,0,0,0,0,IDLE
19790,0,0,0,0,IDLE
19791,0,0,0,0,IDLE
19792,0,0,0,0,IDLE
19794,0,0,0,0,IDLE
19795,0,0,0,0,IDLE
19796,0,0,0,0,IDLE
19797,0,0,0,0,IDLE
19798,0,0,0,0,IDLE
19800,0,0,0,0,IDLE
19801,0,0,0,0,IDLE
19802,0,0,0,0,IDLE
19803,0,0,0,0,IDLE
19805,0,0,0,0,IDLE
19806,0,0,0,0,IDLE
19807,0,0,0,0,IDLE
19808,0,0,0,0,IDLE
19809,0,0,0,0,IDLE
19811,0,0,0,0,IDLE
19812,0,0,0,0,IDLE
19813,0,0,0,0,IDLE
19815,0,0,0,0,IDLE
19816,0,0,0,0,IDLE
19817,0,0,0,0,IDLE
19819,0,0,0,0,IDLE
19820,0,0,0,0,IDLE
19821,0,0,0,0,IDLE
19822,0,0,0,0,IDLE
19824,0,0,0,0,IDLE
19825,0,0,0,0,IDLE
19826,0,0,0,0,IDLE
19828,0,0,0,0,IDLE
19829,0,0,0,0,IDLE
19830,0,0,0,0,IDLE
19832,0,0,0,0,IDLE
19833,0,0,0,0,IDLE
19835,0,0,0,0,IDLE
19836,0,0,0,0,IDLE
19837,0,0,0,0,IDLE
19839,0,0,0,0,IDLE
19840,0,0,0,0,IDLE
19841,0,0,0,0,IDLE
19842,0,0,0,0,IDLE
