t,measureStartTime,full,gain,int_idx,state
TSL2591 found,0,0,0,0,SETUP
AW9523 found,0,0,0,0,SETUP
75609,0,0,0,0,IDLE
75610,0,0,0,0,IDLE
75611,0,0,0,0,IDLE
75612,0,0,0,0,IDLE
75613,0,0,0,0,IDLE
75614,0,0,0,0,IDLE
75615,0,0,0,0,IDLE
75616,0,0,0,0,IDLE
75617,0,0,0,0,IDLE
75618,0,0,0,0,IDLE
75619,0,0,0,0,IDLE
75621,0,0,0,0,IDLE
75622,0,0,0,0,IDLE
75623,0,0,0,0,IDLE
75624,0,0,0,0,IDLE
75625,0,0,0,0,IDLE
75625,0,0,0,0,IDLE
75627,0,0,0,0,IDLE
75628,0,0,0,0,IDLE
75629,0,0,0,0,IDLE
75630,0,0,0,0,IDLE
75631,0,0,0,0,IDLE
75632,0,0,0,0,IDLE
75633,0,0,0,0,IDLE
75634,0,0,0,0,IDLE
75635,0,0,0,0,IDLE
75636,0,0,0,0,IDLE
75637,0,0,0,0,IDLE
75638,0,0,0,0,IDLE
75639,0,0,0,0,IDLE
75640,0,0,0,0,IDLE
75641,0,0,0,0,IDLE
75642,0,0,0,0,IDLE
75643,0,0,0,0,IDLE
75644,0,0,0,0,IDLE
75645,0,0,0,0,IDLE
75647,0,0,0,0,IDLE
75647,0,0,0,0,IDLE
75649,0,0,0,0,IDLE
75650,0,0,0,0,IDLE
75651,0,0,0,0,IDLE
75652,0,0,0,0,IDLE
75653,0,0,0,0,IDLE
75654,0,0,0,0,IDLE
75655,0,0,0,0,IDLE
75656,0,0,0,0,IDLE
75657,0,0,0,0,IDLE
75658,0,0,0,0,IDLE
75659,0,0,0,0,IDLE
75660,0,0,0,0,IDLE
75661,0,0,0,0,IDLE
75662,0,0,0,0,IDLE
75663,0,0,0,0,IDLE
75665,0,0,0,0,IDLE
75666,0,0,0,0,IDLE
75667,0,0,0,0,IDLE
75668,0,0,0,0,IDLE
75669,0,0,0,0,IDLE
75670,0,0,0,0,IDLE
75671,0,0,0,0,IDLE
75672,0,0,0,0,IDLE
75673,0,0,0,0,IDLE
75674,0,0,0,0,IDLE
75675,0,0,0,0,IDLE
75676,0,0,0,0,IDLE
75677,0,0,0,0,IDLE
75678,0,0,0,0,IDLE
75680,0,0,0,0,IDLE
75681,0,0,0,0,IDLE
75682,0,0,0,0,IDLE
75683,0,0,0,0,IDLE
75684,0,0,0,0,IDLE
75685,0,0,0,0,IDLE
