t,measureStartTime,full,gain,int_idx,state
TSL2591 found,0,0,0,0,SETUP
AW9523 found,0,0,0,0,SETUP
8605,0,0,0,0,IDLE
8606,0,0,0,0,IDLE
8607,0,0,0,0,IDLE
8608,0,0,0,0,IDLE
8609,0,0,0,0,IDLE
8610,0,0,0,0,IDLE
8610,0,0,0,0,IDLE
8612,0,0,0,0,IDLE
8613,0,0,0,0,IDLE
8613,0,0,0,0,IDLE
8614,0,0,0,0,IDLE
8615,0,0,0,0,IDLE
8616,0,0,0,0,IDLE
8617,0,0,0,0,IDLE
8618,0,0,0,0,IDLE
8619,0,0,0,0,IDLE
8620,0,0,0,0,IDLE
8621,0,0,0,0,IDLE
8622,0,0,0,0,IDLE
8623,0,0,0,0,IDLE
8624,0,0,0,0,IDLE
8625,0,0,0,0,IDLE
8626,0,0,0,0,IDLE
8627,0,0,0,0,IDLE
8627,0,0,0,0,IDLE
8628,0,0,0,0,IDLE
8629,0,0,0,0,IDLE
8631,0,0,0,0,IDLE
8631,0,0,0,0,IDLE
8632,0,0,0,0,IDLE
8633,0,0,0,0,IDLE
8634,0,0,0,0,IDLE
8635,0,0,0,0,IDLE
8636,0,0,0,0,IDLE
8637,0,0,0,0,IDLE
8638,0,0,0,0,IDLE
8639,0,0,0,0,IDLE
8640,0,0,0,0,IDLE
8641,0,0,0,0,IDLE
8642,0,0,0,0,IDLE
8643,0,0,0,0,IDLE
8644,0,0,0,0,IDLE
8644,0,0,0,0,IDLE
8645,0,0,0,0,IDLE
8647,0,0,0,0,IDLE
8648,0,0,0,0,IDLE
8649,0,0,0,0,IDLE
8649,0,0,0,0,IDLE
8650,0,0,0,0,IDLE
8651,0,0,0,0,IDLE
8652,0,0,0,0,IDLE
8653,0,0,0,0,IDLE
8654,0,0,0,0,IDLE
8655,0,0,0,0,IDLE
8656,0,0,0,0,IDLE
8657,0,0,0,0,IDLE
8658,0,0,0,0,IDLE
8659,0,0,0,0,IDLE
8660,0,0,0,0,IDLE
8661,0,0,0,0,IDLE
8661,0,0,0,0,IDLE
8663,0,0,0,0,IDLE
8664,0,0,0,0,IDLE
8664,0,0,0,0,IDLE
8665,0,0,0,0,IDLE
8666,0,0,0,0,IDLE
8667,0,0,0,0,IDLE
8668,0,0,0,0,IDLE
8669,0,0,0,0,IDLE
8670,0,0,0,0,IDLE
8671,0,0,0,0,IDLE
8672,0,0,0,0,IDLE
8672,0,0,0,0,IDLE
