t,measureStartTime,full,gain,int_idx,state
TSL2591 found,0,0,0,0,SETUP
AW9523 found,0,0,0,0,SETUP
2782,0,0,0,0,IDLE
2783,0,0,0,0,IDLE
2783,0,0,0,0,IDLE
2784,0,0,0,0,IDLE
2785,0,0,0,0,IDLE
2786,0,0,0,0,IDLE
2787,0,0,0,0,IDLE
2788,0,0,0,0,IDLE
2789,0,0,0,0,IDLE
2789,0,0,0,0,IDLE
2790,0,0,0,0,IDLE
2791,0,0,0,0,IDLE
2792,0,0,0,0,IDLE
2793,0,0,0,0,IDLE
2794,0,0,0,0,IDLE
2795,0,0,0,0,IDLE
2796,0,0,0,0,IDLE
2796,0,0,0,0,IDLE
2797,0,0,0,0,IDLE
2798,0,0,0,0,IDLE
2799,0,0,0,0,IDLE
2800,0,0,0,0,IDLE
2801,0,0,0,0,IDLE
2802,0,0,0,0,IDLE
2803,0,0,0,0,IDLE
2804,0,0,0,0,IDLE
2804,0,0,0,0,IDLE
2805,0,0,0,0,IDLE
2806,0,0,0,0,IDLE
2807,0,0,0,0,IDLE
2808,0,0,0,0,IDLE
2809,0,0,0,0,IDLE
2810,0,0,0,0,IDLE
2810,0,0,0,0,IDLE
2812,0,0,0,0,IDLE
2813,0,0,0,0,IDLE
2814,0,0,0,0,IDLE
2815,0,0,0,0,IDLE
2816,0,0,0,0,IDLE
2817,0,0,0,0,IDLE
2817,0,0,0,0,IDLE
2818,0,0,0,0,IDLE
2819,0,0,0,0,IDLE
2820,0,0,0,0,IDLE
2821,0,0,0,0,IDLE
2822,0,0,0,0,IDLE
2822,0,0,0,0,IDLE
2823,0,0,0,0,IDLE
2824,0,0,0,0,IDLE
2825,0,0,0,0,IDLE
2826,0,0,0,0,IDLE
2827,0,0,0,0,IDLE
2828,0,0,0,0,IDLE
2829,0,0,0,0,IDLE
2829,0,0,0,0,IDLE
2830,0,0,0,0,IDLE
2831,0,0,0,0,IDLE
2832,0,0,0,0,IDLE
2833,0,0,0,0,IDLE
2834,0,0,0,0,IDLE
2835,0,0,0,0,IDLE
2835,0,0,0,0,IDLE
2836,0,0,0,0,IDLE
2837,0,0,0,0,IDLE
2838,0,0,0,0,IDLE
2839,0,0,0,0,IDLE
2840,0,0,0,0,IDLE
2840,0,0,0,0,IDLE
2841,0,0,0,0,IDLE
2842,0,0,0,0,IDLE
2843,0,0,0,0,IDLE
2844,0,0,0,0,IDLE
2845,0,0,0,0,IDLE
