t,measureStartTime,full,gain,int_idx,state
TSL2591 found
AW9523 found
13026,0,0,0,0,IDLE
13027,0,0,0,0,IDLE
13028,0,0,0,0,IDLE
13029,0,0,0,0,IDLE
13030,0,0,0,0,IDLE
13031,0,0,0,0,IDLE
13032,0,0,0,0,IDLE
13033,0,0,0,0,IDLE
13033,0,0,0,0,IDLE
13034,0,0,0,0,IDLE
13035,0,0,0,0,IDLE
13036,0,0,0,0,IDLE
13037,0,0,0,0,IDLE
13038,0,0,0,0,IDLE
13039,0,0,0,0,IDLE
13039,0,0,0,0,IDLE
13040,0,0,0,0,IDLE
13041,0,0,0,0,IDLE
13042,0,0,0,0,IDLE
13043,0,0,0,0,IDLE
13044,0,0,0,0,IDLE
13045,0,0,0,0,IDLE
13045,0,0,0,0,IDLE
13046,0,0,0,0,IDLE
13047,0,0,0,0,IDLE
13048,0,0,0,0,IDLE
13049,0,0,0,0,IDLE
13050,0,0,0,0,IDLE
13051,0,0,0,0,IDLE
13052,0,0,0,0,IDLE
13052,0,0,0,0,IDLE
13053,0,0,0,0,IDLE
13054,0,0,0,0,IDLE
13055,0,0,0,0,IDLE
13056,0,0,0,0,IDLE
13057,0,0,0,0,IDLE
13058,0,0,0,0,IDLE
13058,0,0,0,0,IDLE
13059,0,0,0,0,IDLE
13060,0,0,0,0,IDLE
13061,0,0,0,0,IDLE
13062,0,0,0,0,IDLE
13063,0,0,0,0,IDLE
13064,0,0,0,0,IDLE
13064,0,0,0,0,IDLE
13065,0,0,0,0,IDLE
13066,0,0,0,0,IDLE
13067,0,0,0,0,IDLE
13068,0,0,0,0,IDLE
13069,0,0,0,0,IDLE
13069,0,0,0,0,IDLE
13070,0,0,0,0,IDLE
13071,0,0,0,0,IDLE
13072,0,0,0,0,IDLE
13073,0,0,0,0,IDLE
13074,0,0,0,0,IDLE
13075,0,0,0,0,IDLE
13076,0,0,0,0,IDLE
13077,0,0,0,0,IDLE
13078,0,0,0,0,IDLE
13078,0,0,0,0,IDLE
13079,0,0,0,0,IDLE
13080,0,0,0,0,IDLE
13081,0,0,0,0,IDLE
13082,0,0,0,0,IDLE
13083,0,0,0,0,IDLE
13084,0,0,0,0,IDLE
13085,0,0,0,0,IDLE
13086,0,0,0,0,IDLE
13087,0,0,0,0,IDLE
13088,0,0,0,0,IDLE
13088,0,0,0,0,IDLE
13089,0,0,0,0,IDLE
13090,0,0,0,0,IDLE
13091,0,0,0,0,IDLE
13092,0,0,0,0,IDLE
13093,0,0,0,0,IDLE
13094,0,0,0,0,IDLE
13095,0,0,0,0,IDLE
13096,0,0,0,0,IDLE
13096,0,0,0,0,IDLE
13097,0,0,0,0,IDLE
13098,0,0,0,0,IDLE
13099,0,0,0,0,IDLE
13100,0,0,0,0,IDLE
13101,0,0,0,0,IDLE
13102,0,0,0,0,IDLE
13103,0,0,0,0,IDLE
13104,0,0,0,0,IDLE
13105,0,0,0,0,IDLE
13106,0,0,0,0,IDLE
13107,0,0,0,0,IDLE
13107,0,0,0,0,IDLE
13108,0,0,0,0,IDLE
13109,0,0,0,0,IDLE
13110,0,0,0,0,IDLE
13111,0,0,0,0,IDLE
13112,0,0,0,0,IDLE
13113,0,0,0,0,IDLE
13114,0,0,0,0,IDLE
13115,0,0,0,0,IDLE
13116,0,0,0,0,IDLE
13117,0,0,0,0,IDLE
13117,0,0,0,0,IDLE
13118,0,0,0,0,IDLE
13119,0,0,0,0,IDLE
13120,0,0,0,0,IDLE
13121,0,0,0,0,IDLE
13122,0,0,0,0,IDLE
13123,0,0,0,0,IDLE
13124,0,0,0,0,IDLE
13125,0,0,0,0,IDLE
13126,0,0,0,0,IDLE
13127,0,0,0,0,IDLE
13128,0,0,0,0,IDLE
13129,0,0,0,0,IDLE
13129,0,0,0,0,IDLE
13130,0,0,0,0,IDLE
13131,0,0,0,0,IDLE
13132,0,0,0,0,IDLE
13133,0,0,0,0,IDLE
13134,0,0,0,0,IDLE
13135,0,0,0,0,IDLE
13136,0,0,0,0,IDLE
13137,0,0,0,0,IDLE
13138,0,0,0,0,IDLE
13139,0,0,0,0,IDLE
13140,0,0,0,0,IDLE
13141,0,0,0,0,IDLE
13141,0,0,0,0,IDLE
13142,0,0,0,0,IDLE
13143,0,0,0,0,IDLE
13144,0,0,0,0,IDLE
13145,0,0,0,0,IDLE
13146,0,0,0,0,IDLE
13147,0,0,0,0,IDLE
13148,0,0,0,0,IDLE
13149,0,0,0,0,IDLE
13150,0,0,0,0,IDLE
13151,0,0,0,0,IDLE
13152,0,0,0,0,IDLE
13153,0,0,0,0,IDLE
13154,0,0,0,0,IDLE
13155,0,0,0,0,IDLE
13156,0,0,0,0,IDLE
13156,0,0,0,0,IDLE
13157,0,0,0,0,IDLE
13158,0,0,0,0,IDLE
13159,0,0,0,0,IDLE
13160,0,0,0,0,IDLE
13161,0,0,0,0,IDLE
13162,0,0,0,0,IDLE
13163,0,0,0,0,IDLE
13164,0,0,0,0,IDLE
13164,0,0,0,0,IDLE
13165,0,0,0,0,IDLE
13166,0,0,0,0,IDLE
13167,0,0,0,0,IDLE
13168,0,0,0,0,IDLE
13169,0,0,0,0,IDLE
13170,0,0,0,0,IDLE
13171,0,0,0,0,IDLE
13171,0,0,0,0,IDLE
13172,0,0,0,0,IDLE
13173,0,0,0,0,IDLE
13174,0,0,0,0,IDLE
13175,0,0,0,0,IDLE
13176,0,0,0,0,IDLE
13177,0,0,0,0,IDLE
13178,0,0,0,0,IDLE
13178,0,0,0,0,IDLE
13179,0,0,0,0,IDLE
13180,0,0,0,0,IDLE
13181,0,0,0,0,IDLE
13182,0,0,0,0,IDLE
13183,0,0,0,0,IDLE
13184,0,0,0,0,IDLE
13185,0,0,0,0,IDLE
13185,0,0,0,0,IDLE
13186,0,0,0,0,IDLE
13187,0,0,0,0,IDLE
13188,0,0,0,0,IDLE
13189,0,0,0,0,IDLE
13190,0,0,0,0,IDLE
13191,0,0,0,0,IDLE
13192,0,0,0,0,IDLE
13193,0,0,0,0,IDLE
13193,0,0,0,0,IDLE
13194,0,0,0,0,IDLE
13195,0,0,0,0,IDLE
13196,0,0,0,0,IDLE
13197,0,0,0,0,IDLE
13198,0,0,0,0,IDLE
13199,0,0,0,0,IDLE
13199,0,0,0,0,IDLE
13200,0,0,0,0,IDLE
13201,0,0,0,0,IDLE
13202,0,0,0,0,IDLE
13203,0,0,0,0,IDLE
13204,0,0,0,0,IDLE
13205,0,0,0,0,IDLE
13206,0,0,0,0,IDLE
13206,0,0,0,0,IDLE
13207,0,0,0,0,IDLE
13208,0,0,0,0,IDLE
13209,0,0,0,0,IDLE
13210,0,0,0,0,IDLE
13211,0,0,0,0,IDLE
13212,0,0,0,0,IDLE
13213,0,0,0,0,IDLE
13214,0,0,0,0,IDLE
13214,0,0,0,0,IDLE
13215,0,0,0,0,IDLE
13216,0,0,0,0,IDLE
13217,0,0,0,0,IDLE
13218,0,0,0,0,IDLE
13219,0,0,0,0,IDLE
13220,0,0,0,0,IDLE
13221,0,0,0,0,IDLE
13221,0,0,0,0,IDLE
13222,0,0,0,0,IDLE
13223,0,0,0,0,IDLE
13224,0,0,0,0,IDLE
13225,0,0,0,0,IDLE
13226,0,0,0,0,IDLE
13227,0,0,0,0,IDLE
13228,0,0,0,0,IDLE
13229,0,0,0,0,IDLE
13230,0,0,0,0,IDLE
13231,0,0,0,0,IDLE
13231,0,0,0,0,IDLE
13232,0,0,0,0,IDLE
13233,0,0,0,0,IDLE
13234,0,0,0,0,IDLE
13235,0,0,0,0,IDLE
13236,0,0,0,0,IDLE
13237,0,0,0,0,IDLE
13238,0,0,0,0,IDLE
13239,0,0,0,0,IDLE
13239,0,0,0,0,IDLE
13240,0,0,0,0,IDLE
13241,0,0,0,0,IDLE
13242,0,0,0,0,IDLE
13243,0,0,0,0,IDLE
13244,0,0,0,0,IDLE
13245,0,0,0,0,IDLE
13245,0,0,0,0,IDLE
13246,0,0,0,0,IDLE
13247,0,0,0,0,IDLE
13248,0,0,0,0,IDLE
13249,0,0,0,0,IDLE
13250,0,0,0,0,IDLE
13251,0,0,0,0,IDLE
13252,0,0,0,0,IDLE
13253,0,0,0,0,IDLE
13253,0,0,0,0,IDLE
13254,0,0,0,0,IDLE
13255,0,0,0,0,IDLE
13256,0,0,0,0,IDLE
13257,0,0,0,0,IDLE
13258,0,0,0,0,IDLE
13259,0,0,0,0,IDLE
13260,0,0,0,0,IDLE
13260,0,0,0,0,IDLE
13261,0,0,0,0,IDLE
13262,0,0,0,0,IDLE
13263,0,0,0,0,IDLE
13264,0,0,0,0,IDLE
13265,0,0,0,0,IDLE
13266,0,0,0,0,IDLE
13266,0,0,0,0,IDLE
13267,0,0,0,0,IDLE
13268,0,0,0,0,IDLE
13269,0,0,0,0,IDLE
13270,0,0,0,0,IDLE
13271,0,0,0,0,IDLE
13272,0,0,0,0,IDLE
13273,0,0,0,0,IDLE
13274,0,0,0,0,IDLE
13275,0,0,0,0,IDLE
13275,0,0,0,0,IDLE
13276,0,0,0,0,IDLE
13277,0,0,0,0,IDLE
13278,0,0,0,0,IDLE
13279,0,0,0,0,IDLE
13280,0,0,0,0,IDLE
13281,0,0,0,0,IDLE
13282,0,0,0,0,IDLE
13283,0,0,0,0,IDLE
13283,0,0,0,0,IDLE
13284,0,0,0,0,IDLE
13285,0,0,0,0,IDLE
13286,0,0,0,0,IDLE
13287,0,0,0,0,IDLE
13288,0,0,0,0,IDLE
13289,0,0,0,0,IDLE
13290,0,0,0,0,IDLE
13291,0,0,0,0,IDLE
13291,0,0,0,0,IDLE
13292,0,0,0,0,IDLE
13293,0,0,0,0,IDLE
13295,0,0,0,0,IDLE
13296,0,0,0,0,IDLE
13296,0,0,0,0,IDLE
13298,0,0,0,0,IDLE
13298,0,0,0,0,IDLE
13299,0,0,0,0,IDLE
13300,0,0,0,0,IDLE
13301,0,0,0,0,IDLE
13302,0,0,0,0,IDLE
13303,0,0,0,0,IDLE
13304,0,0,0,0,IDLE
13305,0,0,0,0,IDLE
13306,0,0,0,0,IDLE
13307,0,0,0,0,IDLE
13308,0,0,0,0,IDLE
13309,0,0,0,0,IDLE
13310,0,0,0,0,IDLE
13311,0,0,0,0,IDLE
13312,0,0,0,0,IDLE
13313,0,0,0,0,IDLE
13314,0,0,0,0,IDLE
13315,0,0,0,0,IDLE
13315,0,0,0,0,IDLE
13316,0,0,0,0,IDLE
13317,0,0,0,0,IDLE
13318,0,0,0,0,IDLE
13319,0,0,0,0,IDLE
13320,0,0,0,0,IDLE
13321,0,0,0,0,IDLE
13322,0,0,0,0,IDLE
13323,0,0,0,0,IDLE
13324,0,0,0,0,IDLE
13325,0,0,0,0,IDLE
13326,0,0,0,0,IDLE
13327,0,0,0,0,IDLE
13327,0,0,0,0,IDLE
13328,0,0,0,0,IDLE
13329,0,0,0,0,IDLE
13330,0,0,0,0,IDLE
13331,0,0,0,0,IDLE
13332,0,0,0,0,IDLE
13333,0,0,0,0,IDLE
13334,0,0,0,0,IDLE
13335,0,0,0,0,IDLE
13336,0,0,0,0,IDLE
13337,0,0,0,0,IDLE
13338,0,0,0,0,IDLE
13339,0,0,0,0,IDLE
13339,0,0,0,0,IDLE
13340,0,0,0,0,IDLE
13341,0,0,0,0,IDLE
13342,0,0,0,0,IDLE
13343,0,0,0,0,IDLE
13344,0,0,0,0,IDLE
13345,0,0,0,0,IDLE
13346,0,0,0,0,IDLE
13347,0,0,0,0,IDLE
13348,0,0,0,0,IDLE
13349,0,0,0,0,IDLE
13349,0,0,0,0,IDLE
13350,0,0,0,0,IDLE
13351,0,0,0,0,IDLE
13352,0,0,0,0,IDLE
13353,0,0,0,0,IDLE
13354,0,0,0,0,IDLE
13355,0,0,0,0,IDLE
13356,0,0,0,0,IDLE
13357,0,0,0,0,IDLE
13358,0,0,0,0,IDLE
13358,0,0,0,0,IDLE
13359,0,0,0,0,IDLE
13360,0,0,0,0,IDLE
13361,0,0,0,0,IDLE
13362,0,0,0,0,IDLE
13363,0,0,0,0,IDLE
13364,0,0,0,0,IDLE
13365,0,0,0,0,IDLE
13366,0,0,0,0,IDLE
13367,0,0,0,0,IDLE
13368,0,0,0,0,IDLE
13369,0,0,0,0,IDLE
13370,0,0,0,0,IDLE
13371,0,0,0,0,IDLE
13371,0,0,0,0,IDLE
13372,0,0,0,0,IDLE
13373,0,0,0,0,IDLE
13374,0,0,0,0,IDLE
13375,0,0,0,0,IDLE
13376,0,0,0,0,IDLE
13377,0,0,0,0,IDLE
13378,0,0,0,0,IDLE
13379,0,0,0,0,IDLE
13380,0,0,0,0,IDLE
13381,0,0,0,0,IDLE
13382,0,0,0,0,IDLE
13383,0,0,0,0,IDLE
13384,0,0,0,0,IDLE
13385,0,0,0,0,IDLE
13386,0,0,0,0,IDLE
13386,0,0,0,0,IDLE
13387,0,0,0,0,IDLE
13388,0,0,0,0,IDLE
13389,0,0,0,0,IDLE
