t,measureStartTime,full,gain,int_idx,state
TSL2591 found,0,0,0,0,SETUP
AW9523 found,0,0,0,0,SETUP
901,0,0,0,0,IDLE
903,0,0,0,0,IDLE
904,0,0,0,0,IDLE
905,0,0,0,0,IDLE
906,0,0,0,0,IDLE
907,0,0,0,0,IDLE
908,0,0,0,0,IDLE
909,0,0,0,0,IDLE
909,0,0,0,0,IDLE
910,0,0,0,0,IDLE
911,0,0,0,0,IDLE
912,0,0,0,0,IDLE
914,0,0,0,0,IDLE
915,0,0,0,0,IDLE
916,0,0,0,0,IDLE
917,0,0,0,0,IDLE
917,0,0,0,0,IDLE
918,0,0,0,0,IDLE
919,0,0,0,0,IDLE
920,0,0,0,0,IDLE
921,0,0,0,0,IDLE
922,0,0,0,0,IDLE
923,0,0,0,0,IDLE
924,0,0,0,0,IDLE
925,0,0,0,0,IDLE
925,0,0,0,0,IDLE
926,0,0,0,0,IDLE
927,0,0,0,0,IDLE
928,0,0,0,0,IDLE
929,0,0,0,0,IDLE
930,0,0,0,0,IDLE
931,0,0,0,0,IDLE
932,0,0,0,0,IDLE
933,0,0,0,0,IDLE
934,0,0,0,0,IDLE
935,0,0,0,0,IDLE
936,0,0,0,0,IDLE
937,0,0,0,0,IDLE
938,0,0,0,0,IDLE
939,0,0,0,0,IDLE
940,0,0,0,0,IDLE
941,0,0,0,0,IDLE
941,0,0,0,0,IDLE
942,0,0,0,0,IDLE
943,0,0,0,0,IDLE
944,0,0,0,0,IDLE
945,0,0,0,0,IDLE
946,0,0,0,0,IDLE
947,0,0,0,0,IDLE
948,0,0,0,0,IDLE
948,0,0,0,0,IDLE
949,0,0,0,0,IDLE
950,0,0,0,0,IDLE
951,0,0,0,0,IDLE
952,0,0,0,0,IDLE
953,0,0,0,0,IDLE
954,0,0,0,0,IDLE
954,0,0,0,0,IDLE
955,0,0,0,0,IDLE
956,0,0,0,0,IDLE
957,0,0,0,0,IDLE
958,0,0,0,0,IDLE
959,0,0,0,0,IDLE
960,0,0,0,0,IDLE
961,0,0,0,0,IDLE
962,0,0,0,0,IDLE
963,0,0,0,0,IDLE
964,0,0,0,0,IDLE
965,0,0,0,0,IDLE
966,0,0,0,0,IDLE
967,0,0,0,0,IDLE
968,0,0,0,0,IDLE
969,0,0,0,0,IDLE
969,0,0,0,0,IDLE
970,0,0,0,0,IDLE
971,0,0,0,0,IDLE
972,0,0,0,0,IDLE
973,0,0,0,0,IDLE
