t,measureStartTime,full,gain,int_idx,state
TSL2591 found,0,0,0,0,SETUP
AW9523 found,0,0,0,0,SETUP
296287,0,0,0,0,IDLE
296289,0,0,0,0,IDLE
296291,0,0,0,0,IDLE
296293,0,0,0,0,IDLE
296295,0,0,0,0,IDLE
296296,0,0,0,0,IDLE
296298,0,0,0,0,IDLE
296300,0,0,0,0,IDLE
296302,0,0,0,0,IDLE
296304,0,0,0,0,IDLE
296305,0,0,0,0,IDLE
296307,0,0,0,0,IDLE
296308,0,0,0,0,IDLE
296309,0,0,0,0,IDLE
296311,0,0,0,0,IDLE
296313,0,0,0,0,IDLE
296314,0,0,0,0,IDLE
296316,0,0,0,0,IDLE
296318,0,0,0,0,IDLE
296320,0,0,0,0,IDLE
296321,0,0,0,0,IDLE
296323,0,0,0,0,IDLE
296325,0,0,0,0,IDLE
296327,0,0,0,0,IDLE
296329,0,0,0,0,IDLE
296331,0,0,0,0,IDLE
296333,0,0,0,0,IDLE
296335,0,0,0,0,IDLE
296336,0,0,0,0,IDLE
296337,0,0,0,0,IDLE
296338,0,0,0,0,IDLE
296340,0,0,0,0,IDLE
296342,0,0,0,0,IDLE
296343,0,0,0,0,IDLE
296345,0,0,0,0,IDLE
296346,0,0,0,0,IDLE
296348,0,0,0,0,IDLE
296349,0,0,0,0,IDLE
296351,0,0,0,0,IDLE
296353,0,0,0,0,IDLE
296355,0,0,0,0,IDLE
296357,0,0,0,0,IDLE
296359,0,0,0,0,IDLE
296360,0,0,0,0,IDLE
296361,0,0,0,0,IDLE
296363,0,0,0,0,IDLE
296364,0,0,0,0,IDLE
296365,0,0,0,0,IDLE
296367,0,0,0,0,IDLE
296368,0,0,0,0,IDLE
296370,0,0,0,0,IDLE
296371,0,0,0,0,IDLE
296373,0,0,0,0,IDLE
296374,0,0,0,0,IDLE
296375,0,0,0,0,IDLE
296377,0,0,0,0,IDLE
296378,0,0,0,0,IDLE
296379,0,0,0,0,IDLE
296381,0,0,0,0,IDLE
296382,0,0,0,0,IDLE
296384,0,0,0,0,IDLE
296385,0,0,0,0,IDLE
296387,0,0,0,0,IDLE
296388,0,0,0,0,IDLE
296390,0,0,0,0,IDLE
296391,0,0,0,0,IDLE
296392,0,0,0,0,IDLE
296394,0,0,0,0,IDLE
296395,0,0,0,0,IDLE
296396,0,0,0,0,IDLE
296397,0,0,0,0,IDLE
296399,0,0,0,0,IDLE
296400,0,0,0,0,IDLE
