t,measureStartTime,full,gain,int_idx,state
TSL2591 found,0,0,0,0,SETUP
AW9523 found,0,0,0,0,SETUP
7103,0,0,0,0,IDLE
7105,0,0,0,0,IDLE
7107,0,0,0,0,IDLE
7108,0,0,0,0,IDLE
7110,0,0,0,0,IDLE
7111,0,0,0,0,IDLE
7112,0,0,0,0,IDLE
7114,0,0,0,0,IDLE
7115,0,0,0,0,IDLE
7117,0,0,0,0,IDLE
7118,0,0,0,0,IDLE
7119,0,0,0,0,IDLE
7121,0,0,0,0,IDLE
7124,0,0,0,0,IDLE
7125,0,0,0,0,IDLE
7127,0,0,0,0,IDLE
7128,0,0,0,0,IDLE
7130,0,0,0,0,IDLE
7131,0,0,0,0,IDLE
7133,0,0,0,0,IDLE
7134,0,0,0,0,IDLE
7135,0,0,0,0,IDLE
7137,0,0,0,0,IDLE
7138,0,0,0,0,IDLE
7140,0,0,0,0,IDLE
7141,0,0,0,0,IDLE
7142,0,0,0,0,IDLE
7144,0,0,0,0,IDLE
7145,0,0,0,0,IDLE
7147,0,0,0,0,IDLE
7148,0,0,0,0,IDLE
7150,0,0,0,0,IDLE
7151,0,0,0,0,IDLE
7152,0,0,0,0,IDLE
7154,0,0,0,0,IDLE
7155,0,0,0,0,IDLE
7157,0,0,0,0,IDLE
7158,0,0,0,0,IDLE
7160,0,0,0,0,IDLE
7161,0,0,0,0,IDLE
7162,0,0,0,0,IDLE
7163,0,0,0,0,IDLE
7164,0,0,0,0,IDLE
7166,0,0,0,0,IDLE
7167,0,0,0,0,IDLE
7168,0,0,0,0,IDLE
7170,0,0,0,0,IDLE
7171,0,0,0,0,IDLE
7172,0,0,0,0,IDLE
7174,0,0,0,0,IDLE
7175,0,0,0,0,IDLE
7176,0,0,0,0,IDLE
7178,0,0,0,0,IDLE
7179,0,0,0,0,IDLE
7180,0,0,0,0,IDLE
7182,0,0,0,0,IDLE
7183,0,0,0,0,IDLE
7184,0,0,0,0,IDLE
7185,0,0,0,0,IDLE
7187,0,0,0,0,IDLE
7188,0,0,0,0,IDLE
7189,0,0,0,0,IDLE
7191,0,0,0,0,IDLE
7192,0,0,0,0,IDLE
7193,0,0,0,0,IDLE
7195,0,0,0,0,IDLE
7196,0,0,0,0,IDLE
7198,0,0,0,0,IDLE
7199,0,0,0,0,IDLE
7201,0,0,0,0,IDLE
7203,0,0,0,0,IDLE
7204,0,0,0,0,IDLE
7205,0,0,0,0,IDLE
