t,measureStartTime,full,gain,int_idx,state
TSL2591 found,0,0,0,0,SETUP
AW9523 found,0,0,0,0,SETUP
34937,0,0,0,0,IDLE
34938,0,0,0,0,IDLE
34940,0,0,0,0,IDLE
34942,0,0,0,0,IDLE
34944,0,0,0,0,IDLE
34946,0,0,0,0,IDLE
34947,0,0,0,0,IDLE
34949,0,0,0,0,IDLE
34951,0,0,0,0,IDLE
34953,0,0,0,0,IDLE
34955,0,0,0,0,IDLE
34956,0,0,0,0,IDLE
34958,0,0,0,0,IDLE
34960,0,0,0,0,IDLE
34962,0,0,0,0,IDLE
34964,0,0,0,0,IDLE
34966,0,0,0,0,IDLE
34968,0,0,0,0,IDLE
34969,0,0,0,0,IDLE
34971,0,0,0,0,IDLE
34973,0,0,0,0,IDLE
34974,0,0,0,0,IDLE
34975,0,0,0,0,IDLE
34977,0,0,0,0,IDLE
34978,0,0,0,0,IDLE
34980,0,0,0,0,IDLE
34981,0,0,0,0,IDLE
34983,0,0,0,0,IDLE
34985,0,0,0,0,IDLE
34986,0,0,0,0,IDLE
34988,0,0,0,0,IDLE
34989,0,0,0,0,IDLE
34991,0,0,0,0,IDLE
34993,0,0,0,0,IDLE
34994,0,0,0,0,IDLE
34995,0,0,0,0,IDLE
34997,0,0,0,0,IDLE
34998,0,0,0,0,IDLE
35000,0,0,0,0,IDLE
35001,0,0,0,0,IDLE
35003,0,0,0,0,IDLE
35004,0,0,0,0,IDLE
35006,0,0,0,0,IDLE
35007,0,0,0,0,IDLE
35009,0,0,0,0,IDLE
35011,0,0,0,0,IDLE
35012,0,0,0,0,IDLE
35013,0,0,0,0,IDLE
35015,0,0,0,0,IDLE
35017,0,0,0,0,IDLE
35018,0,0,0,0,IDLE
35020,0,0,0,0,IDLE
35021,0,0,0,0,IDLE
35023,0,0,0,0,IDLE
35024,0,0,0,0,IDLE
35026,0,0,0,0,IDLE
35027,0,0,0,0,IDLE
35028,0,0,0,0,IDLE
35030,0,0,0,0,IDLE
35031,0,0,0,0,IDLE
35033,0,0,0,0,IDLE
35034,0,0,0,0,IDLE
35036,0,0,0,0,IDLE
35037,0,0,0,0,IDLE
35039,0,0,0,0,IDLE
35040,0,0,0,0,IDLE
35042,0,0,0,0,IDLE
35043,0,0,0,0,IDLE
35045,0,0,0,0,IDLE
35046,0,0,0,0,IDLE
35048,0,0,0,0,IDLE
35050,0,0,0,0,IDLE
35051,0,0,0,0,IDLE
