t,measureStartTime,full,gain,int_idx,state
TSL2591 found,0,0,0,0,SETUP
AW9523 found,0,0,0,0,SETUP
2442,0,0,0,0,IDLE
2443,0,0,0,0,IDLE
2444,0,0,0,0,IDLE
2445,0,0,0,0,IDLE
2447,0,0,0,0,IDLE
2448,0,0,0,0,IDLE
2449,0,0,0,0,IDLE
2450,0,0,0,0,IDLE
2451,0,0,0,0,IDLE
2453,0,0,0,0,IDLE
2454,0,0,0,0,IDLE
2455,0,0,0,0,IDLE
2456,0,0,0,0,IDLE
2457,0,0,0,0,IDLE
2458,0,0,0,0,IDLE
2459,0,0,0,0,IDLE
2460,0,0,0,0,IDLE
2461,0,0,0,0,IDLE
2463,0,0,0,0,IDLE
2464,0,0,0,0,IDLE
2465,0,0,0,0,IDLE
2466,0,0,0,0,IDLE
2467,0,0,0,0,IDLE
2469,0,0,0,0,IDLE
2470,0,0,0,0,IDLE
2471,0,0,0,0,IDLE
2472,0,0,0,0,IDLE
2473,0,0,0,0,IDLE
2474,0,0,0,0,IDLE
2475,0,0,0,0,IDLE
2476,0,0,0,0,IDLE
2477,0,0,0,0,IDLE
2478,0,0,0,0,IDLE
2480,0,0,0,0,IDLE
2481,0,0,0,0,IDLE
2482,0,0,0,0,IDLE
2483,0,0,0,0,IDLE
2484,0,0,0,0,IDLE
2485,0,0,0,0,IDLE
2486,0,0,0,0,IDLE
2488,0,0,0,0,IDLE
2489,0,0,0,0,IDLE
2490,0,0,0,0,IDLE
2491,0,0,0,0,IDLE
2492,0,0,0,0,IDLE
2493,0,0,0,0,IDLE
2494,0,0,0,0,IDLE
2495,0,0,0,0,IDLE
2496,0,0,0,0,IDLE
2497,0,0,0,0,IDLE
2498,0,0,0,0,IDLE
2499,0,0,0,0,IDLE
2500,0,0,0,0,IDLE
2502,0,0,0,0,IDLE
2503,0,0,0,0,IDLE
2504,0,0,0,0,IDLE
2505,0,0,0,0,IDLE
2506,0,0,0,0,IDLE
2507,0,0,0,0,IDLE
2508,0,0,0,0,IDLE
2510,0,0,0,0,IDLE
2511,0,0,0,0,IDLE
2512,0,0,0,0,IDLE
2513,0,0,0,0,IDLE
2514,0,0,0,0,IDLE
2515,0,0,0,0,IDLE
2516,0,0,0,0,IDLE
2517,0,0,0,0,IDLE
2518,0,0,0,0,IDLE
2519,0,0,0,0,IDLE
2521,0,0,0,0,IDLE
2522,0,0,0,0,IDLE
2523,0,0,0,0,IDLE
