t,measureStartTime,full,gain,int_idx,state
TSL2591 found,0,0,0,0,SETUP
AW9523 found,0,0,0,0,SETUP
1161,0,0,0,0,IDLE
1162,0,0,0,0,IDLE
1163,0,0,0,0,IDLE
1164,0,0,0,0,IDLE
1165,0,0,0,0,IDLE
1166,0,0,0,0,IDLE
1167,0,0,0,0,IDLE
1168,0,0,0,0,IDLE
1169,0,0,0,0,IDLE
1170,0,0,0,0,IDLE
1171,0,0,0,0,IDLE
1172,0,0,0,0,IDLE
1173,0,0,0,0,IDLE
1175,0,0,0,0,IDLE
1176,0,0,0,0,IDLE
1177,0,0,0,0,IDLE
1178,0,0,0,0,IDLE
1179,0,0,0,0,IDLE
1180,0,0,0,0,IDLE
1181,0,0,0,0,IDLE
1182,0,0,0,0,IDLE
1183,0,0,0,0,IDLE
1184,0,0,0,0,IDLE
1185,0,0,0,0,IDLE
1186,0,0,0,0,IDLE
1187,0,0,0,0,IDLE
1188,0,0,0,0,IDLE
1189,0,0,0,0,IDLE
1190,0,0,0,0,IDLE
1191,0,0,0,0,IDLE
1192,0,0,0,0,IDLE
1193,0,0,0,0,IDLE
1194,0,0,0,0,IDLE
1195,0,0,0,0,IDLE
1196,0,0,0,0,IDLE
1197,0,0,0,0,IDLE
1198,0,0,0,0,IDLE
1199,0,0,0,0,IDLE
1200,0,0,0,0,IDLE
1201,0,0,0,0,IDLE
1202,0,0,0,0,IDLE
1203,0,0,0,0,IDLE
1204,0,0,0,0,IDLE
1205,0,0,0,0,IDLE
1206,0,0,0,0,IDLE
1207,0,0,0,0,IDLE
1208,0,0,0,0,IDLE
1209,0,0,0,0,IDLE
1211,0,0,0,0,IDLE
1212,0,0,0,0,IDLE
1213,0,0,0,0,IDLE
1214,0,0,0,0,IDLE
1215,0,0,0,0,IDLE
1216,0,0,0,0,IDLE
1217,0,0,0,0,IDLE
1218,0,0,0,0,IDLE
1219,0,0,0,0,IDLE
1220,0,0,0,0,IDLE
1221,0,0,0,0,IDLE
1222,0,0,0,0,IDLE
1223,0,0,0,0,IDLE
1224,0,0,0,0,IDLE
1225,0,0,0,0,IDLE
1226,0,0,0,0,IDLE
1227,0,0,0,0,IDLE
1228,0,0,0,0,IDLE
1229,0,0,0,0,IDLE
1230,0,0,0,0,IDLE
1232,0,0,0,0,IDLE
1233,0,0,0,0,IDLE
1234,0,0,0,0,IDLE
1235,0,0,0,0,IDLE
1236,0,0,0,0,IDLE
