t,measureStartTime,full,gain,int_idx,state
TSL2591 found,0,0,0,0,SETUP
AW9523 found,0,0,0,0,SETUP
2082,0,0,0,0,IDLE
2083,0,0,0,0,IDLE
2084,0,0,0,0,IDLE
2085,0,0,0,0,IDLE
2086,0,0,0,0,IDLE
2088,0,0,0,0,IDLE
2089,0,0,0,0,IDLE
2089,0,0,0,0,IDLE
2090,0,0,0,0,IDLE
2091,0,0,0,0,IDLE
2092,0,0,0,0,IDLE
2093,0,0,0,0,IDLE
2095,0,0,0,0,IDLE
2095,0,0,0,0,IDLE
2096,0,0,0,0,IDLE
2097,0,0,0,0,IDLE
2098,0,0,0,0,IDLE
2099,0,0,0,0,IDLE
2100,0,0,0,0,IDLE
2101,0,0,0,0,IDLE
2102,0,0,0,0,IDLE
2103,0,0,0,0,IDLE
2104,0,0,0,0,IDLE
2105,0,0,0,0,IDLE
2106,0,0,0,0,IDLE
2107,0,0,0,0,IDLE
2108,0,0,0,0,IDLE
2109,0,0,0,0,IDLE
2110,0,0,0,0,IDLE
2111,0,0,0,0,IDLE
2113,0,0,0,0,IDLE
2114,0,0,0,0,IDLE
2115,0,0,0,0,IDLE
2116,0,0,0,0,IDLE
2117,0,0,0,0,IDLE
2118,0,0,0,0,IDLE
2119,0,0,0,0,IDLE
2120,0,0,0,0,IDLE
2121,0,0,0,0,IDLE
2122,0,0,0,0,IDLE
2123,0,0,0,0,IDLE
2124,0,0,0,0,IDLE
2125,0,0,0,0,IDLE
2126,0,0,0,0,IDLE
2127,0,0,0,0,IDLE
2128,0,0,0,0,IDLE
2129,0,0,0,0,IDLE
2130,0,0,0,0,IDLE
2131,0,0,0,0,IDLE
2132,0,0,0,0,IDLE
2133,0,0,0,0,IDLE
2134,0,0,0,0,IDLE
2135,0,0,0,0,IDLE
2137,0,0,0,0,IDLE
2138,0,0,0,0,IDLE
2139,0,0,0,0,IDLE
2140,0,0,0,0,IDLE
2141,0,0,0,0,IDLE
2142,0,0,0,0,IDLE
2143,0,0,0,0,IDLE
2144,0,0,0,0,IDLE
2145,0,0,0,0,IDLE
2146,0,0,0,0,IDLE
2147,0,0,0,0,IDLE
2148,0,0,0,0,IDLE
2149,0,0,0,0,IDLE
2150,0,0,0,0,IDLE
2151,0,0,0,0,IDLE
2152,0,0,0,0,IDLE
2153,0,0,0,0,IDLE
2154,0,0,0,0,IDLE
2156,0,0,0,0,IDLE
2157,0,0,0,0,IDLE
