t,measureStartTime,full,gain,int_idx,state
TSL2591 found,0,0,0,0,SETUP
AW9523 found,0,0,0,0,SETUP
2862,0,0,0,0,IDLE
2863,0,0,0,0,IDLE
2865,0,0,0,0,IDLE
2866,0,0,0,0,IDLE
2868,0,0,0,0,IDLE
2869,0,0,0,0,IDLE
2871,0,0,0,0,IDLE
2872,0,0,0,0,IDLE
2873,0,0,0,0,IDLE
2875,0,0,0,0,IDLE
2876,0,0,0,0,IDLE
2878,0,0,0,0,IDLE
2879,0,0,0,0,IDLE
2881,0,0,0,0,IDLE
2882,0,0,0,0,IDLE
2883,0,0,0,0,IDLE
2884,0,0,0,0,IDLE
2886,0,0,0,0,IDLE
2887,0,0,0,0,IDLE
2888,0,0,0,0,IDLE
2890,0,0,0,0,IDLE
2891,0,0,0,0,IDLE
2893,0,0,0,0,IDLE
2894,0,0,0,0,IDLE
2895,0,0,0,0,IDLE
2897,0,0,0,0,IDLE
2898,0,0,0,0,IDLE
2899,0,0,0,0,IDLE
2901,0,0,0,0,IDLE
2902,0,0,0,0,IDLE
2903,0,0,0,0,IDLE
2905,0,0,0,0,IDLE
2906,0,0,0,0,IDLE
2907,0,0,0,0,IDLE
2908,0,0,0,0,IDLE
2910,0,0,0,0,IDLE
2911,0,0,0,0,IDLE
2913,0,0,0,0,IDLE
2914,0,0,0,0,IDLE
2915,0,0,0,0,IDLE
2917,0,0,0,0,IDLE
2918,0,0,0,0,IDLE
2919,0,0,0,0,IDLE
2921,0,0,0,0,IDLE
2922,0,0,0,0,IDLE
2923,0,0,0,0,IDLE
2925,0,0,0,0,IDLE
2926,0,0,0,0,IDLE
2927,0,0,0,0,IDLE
2928,0,0,0,0,IDLE
2930,0,0,0,0,IDLE
2931,0,0,0,0,IDLE
2932,0,0,0,0,IDLE
2934,0,0,0,0,IDLE
2935,0,0,0,0,IDLE
2937,0,0,0,0,IDLE
2938,0,0,0,0,IDLE
2939,0,0,0,0,IDLE
2941,0,0,0,0,IDLE
2942,0,0,0,0,IDLE
2943,0,0,0,0,IDLE
2945,0,0,0,0,IDLE
2946,0,0,0,0,IDLE
2947,0,0,0,0,IDLE
2948,0,0,0,0,IDLE
2950,0,0,0,0,IDLE
2951,0,0,0,0,IDLE
2953,0,0,0,0,IDLE
2954,0,0,0,0,IDLE
2956,0,0,0,0,IDLE
2957,0,0,0,0,IDLE
2958,0,0,0,0,IDLE
2960,0,0,0,0,IDLE
