t,measureStartTime,full,gain,int_idx,state
TSL2591 found,0,0,0,0,SETUP
AW9523 found,0,0,0,0,SETUP
1521,0,0,0,0,IDLE
1523,0,0,0,0,IDLE
1524,0,0,0,0,IDLE
1525,0,0,0,0,IDLE
1526,0,0,0,0,IDLE
1527,0,0,0,0,IDLE
1528,0,0,0,0,IDLE
1529,0,0,0,0,IDLE
1530,0,0,0,0,IDLE
1531,0,0,0,0,IDLE
1532,0,0,0,0,IDLE
1533,0,0,0,0,IDLE
1534,0,0,0,0,IDLE
1535,0,0,0,0,IDLE
1536,0,0,0,0,IDLE
1537,0,0,0,0,IDLE
1538,0,0,0,0,IDLE
1539,0,0,0,0,IDLE
1540,0,0,0,0,IDLE
1541,0,0,0,0,IDLE
1542,0,0,0,0,IDLE
1543,0,0,0,0,IDLE
1544,0,0,0,0,IDLE
1545,0,0,0,0,IDLE
1546,0,0,0,0,IDLE
1547,0,0,0,0,IDLE
1548,0,0,0,0,IDLE
1550,0,0,0,0,IDLE
1551,0,0,0,0,IDLE
1552,0,0,0,0,IDLE
1553,0,0,0,0,IDLE
1554,0,0,0,0,IDLE
1555,0,0,0,0,IDLE
1556,0,0,0,0,IDLE
1557,0,0,0,0,IDLE
1558,0,0,0,0,IDLE
1559,0,0,0,0,IDLE
1560,0,0,0,0,IDLE
1561,0,0,0,0,IDLE
1562,0,0,0,0,IDLE
1563,0,0,0,0,IDLE
1564,0,0,0,0,IDLE
1565,0,0,0,0,IDLE
1566,0,0,0,0,IDLE
1567,0,0,0,0,IDLE
1568,0,0,0,0,IDLE
1569,0,0,0,0,IDLE
1570,0,0,0,0,IDLE
1571,0,0,0,0,IDLE
1572,0,0,0,0,IDLE
1573,0,0,0,0,IDLE
1574,0,0,0,0,IDLE
1575,0,0,0,0,IDLE
1576,0,0,0,0,IDLE
1577,0,0,0,0,IDLE
1578,0,0,0,0,IDLE
1579,0,0,0,0,IDLE
1581,0,0,0,0,IDLE
1581,0,0,0,0,IDLE
1583,0,0,0,0,IDLE
1584,0,0,0,0,IDLE
1585,0,0,0,0,IDLE
1586,0,0,0,0,IDLE
1587,0,0,0,0,IDLE
1588,0,0,0,0,IDLE
1589,0,0,0,0,IDLE
1590,0,0,0,0,IDLE
1591,0,0,0,0,IDLE
1592,0,0,0,0,IDLE
1594,0,0,0,0,IDLE
1595,0,0,0,0,IDLE
1596,0,0,0,0,IDLE
1597,0,0,0,0,IDLE
