t,measureStartTime,full,gain,int_idx,state
TSL2591 found,0,0,0,0,SETUP
AW9523 found,0,0,0,0,SETUP
3022,0,0,0,0,IDLE
3023,0,0,0,0,IDLE
3024,0,0,0,0,IDLE
3025,0,0,0,0,IDLE
3026,0,0,0,0,IDLE
3027,0,0,0,0,IDLE
3028,0,0,0,0,IDLE
3029,0,0,0,0,IDLE
3030,0,0,0,0,IDLE
3031,0,0,0,0,IDLE
3032,0,0,0,0,IDLE
3033,0,0,0,0,IDLE
3035,0,0,0,0,IDLE
3036,0,0,0,0,IDLE
3036,0,0,0,0,IDLE
3038,0,0,0,0,IDLE
3039,0,0,0,0,IDLE
3040,0,0,0,0,IDLE
3041,0,0,0,0,IDLE
3042,0,0,0,0,IDLE
3043,0,0,0,0,IDLE
3044,0,0,0,0,IDLE
3045,0,0,0,0,IDLE
3046,0,0,0,0,IDLE
3047,0,0,0,0,IDLE
3048,0,0,0,0,IDLE
3050,0,0,0,0,IDLE
3051,0,0,0,0,IDLE
3052,0,0,0,0,IDLE
3053,0,0,0,0,IDLE
3054,0,0,0,0,IDLE
3055,0,0,0,0,IDLE
3056,0,0,0,0,IDLE
3057,0,0,0,0,IDLE
3058,0,0,0,0,IDLE
3059,0,0,0,0,IDLE
3060,0,0,0,0,IDLE
3061,0,0,0,0,IDLE
3062,0,0,0,0,IDLE
3063,0,0,0,0,IDLE
3064,0,0,0,0,IDLE
3065,0,0,0,0,IDLE
3066,0,0,0,0,IDLE
3068,0,0,0,0,IDLE
3069,0,0,0,0,IDLE
3070,0,0,0,0,IDLE
3071,0,0,0,0,IDLE
3072,0,0,0,0,IDLE
3073,0,0,0,0,IDLE
3074,0,0,0,0,IDLE
3075,0,0,0,0,IDLE
3076,0,0,0,0,IDLE
3077,0,0,0,0,IDLE
3078,0,0,0,0,IDLE
3079,0,0,0,0,IDLE
3080,0,0,0,0,IDLE
3081,0,0,0,0,IDLE
3082,0,0,0,0,IDLE
3083,0,0,0,0,IDLE
3084,0,0,0,0,IDLE
3085,0,0,0,0,IDLE
3086,0,0,0,0,IDLE
3087,0,0,0,0,IDLE
3088,0,0,0,0,IDLE
3089,0,0,0,0,IDLE
3090,0,0,0,0,IDLE
3091,0,0,0,0,IDLE
3092,0,0,0,0,IDLE
3093,0,0,0,0,IDLE
3094,0,0,0,0,IDLE
3095,0,0,0,0,IDLE
3095,0,0,0,0,IDLE
3096,0,0,0,0,IDLE
