t,measureStartTime,full,gain,int_idx,state
TSL2591 found
AW9523 found
1361,0,0,0,0,IDLE
1362,0,0,0,0,IDLE
1363,0,0,0,0,IDLE
1364,0,0,0,0,IDLE
1365,0,0,0,0,IDLE
1366,0,0,0,0,IDLE
1366,0,0,0,0,IDLE
1367,0,0,0,0,IDLE
1368,0,0,0,0,IDLE
1369,0,0,0,0,IDLE
1370,0,0,0,0,IDLE
1371,0,0,0,0,IDLE
1372,0,0,0,0,IDLE
1372,0,0,0,0,IDLE
1373,0,0,0,0,IDLE
1374,0,0,0,0,IDLE
1375,0,0,0,0,IDLE
1376,0,0,0,0,IDLE
1377,0,0,0,0,IDLE
1378,0,0,0,0,IDLE
1379,0,0,0,0,IDLE
1380,0,0,0,0,IDLE
1381,0,0,0,0,IDLE
1382,0,0,0,0,IDLE
1382,0,0,0,0,IDLE
1383,0,0,0,0,IDLE
1384,0,0,0,0,IDLE
1385,0,0,0,0,IDLE
1386,0,0,0,0,IDLE
1387,0,0,0,0,IDLE
1388,0,0,0,0,IDLE
1389,0,0,0,0,IDLE
1390,0,0,0,0,IDLE
1391,0,0,0,0,IDLE
1392,0,0,0,0,IDLE
1393,0,0,0,0,IDLE
1394,0,0,0,0,IDLE
1396,0,0,0,0,IDLE
1397,0,0,0,0,IDLE
1398,0,0,0,0,IDLE
1399,0,0,0,0,IDLE
1400,0,0,0,0,IDLE
1401,0,0,0,0,IDLE
1401,0,0,0,0,IDLE
1402,0,0,0,0,IDLE
1403,0,0,0,0,IDLE
1404,0,0,0,0,IDLE
1405,0,0,0,0,IDLE
1406,0,0,0,0,IDLE
1407,0,0,0,0,IDLE
1408,0,0,0,0,IDLE
1409,0,0,0,0,IDLE
1410,0,0,0,0,IDLE
1410,0,0,0,0,IDLE
1411,0,0,0,0,IDLE
1412,0,0,0,0,IDLE
1413,0,0,0,0,IDLE
1414,0,0,0,0,IDLE
1415,0,0,0,0,IDLE
1416,0,0,0,0,IDLE
1417,0,0,0,0,IDLE
1417,0,0,0,0,IDLE
1418,0,0,0,0,IDLE
1419,0,0,0,0,IDLE
1420,0,0,0,0,IDLE
1421,0,0,0,0,IDLE
1422,0,0,0,0,IDLE
1423,0,0,0,0,IDLE
1424,0,0,0,0,IDLE
1425,0,0,0,0,IDLE
1426,0,0,0,0,IDLE
1427,0,0,0,0,IDLE
1428,0,0,0,0,IDLE
1429,0,0,0,0,IDLE
1429,0,0,0,0,IDLE
1430,0,0,0,0,IDLE
1431,0,0,0,0,IDLE
1432,0,0,0,0,IDLE
1433,0,0,0,0,IDLE
1434,0,0,0,0,IDLE
1436,0,0,0,0,IDLE
1437,0,0,0,0,IDLE
1437,0,0,0,0,IDLE
1438,0,0,0,0,IDLE
1439,0,0,0,0,IDLE
1440,0,0,0,0,IDLE
1441,0,0,0,0,IDLE
1442,0,0,0,0,IDLE
1443,0,0,0,0,IDLE
1444,0,0,0,0,IDLE
1445,0,0,0,0,IDLE
1446,0,0,0,0,IDLE
1447,0,0,0,0,IDLE
1448,0,0,0,0,IDLE
1449,0,0,0,0,IDLE
1450,0,0,0,0,IDLE
1451,0,0,0,0,IDLE
1452,0,0,0,0,IDLE
1453,0,0,0,0,IDLE
1454,0,0,0,0,IDLE
1455,0,0,0,0,IDLE
1456,0,0,0,0,IDLE
1457,0,0,0,0,IDLE
1458,0,0,0,0,IDLE
1458,0,0,0,0,IDLE
1459,0,0,0,0,IDLE
1460,0,0,0,0,IDLE
1461,0,0,0,0,IDLE
1462,0,0,0,0,IDLE
1463,0,0,0,0,IDLE
1463,0,0,0,0,IDLE
1464,0,0,0,0,IDLE
1465,0,0,0,0,IDLE
1466,0,0,0,0,IDLE
1467,0,0,0,0,IDLE
1468,0,0,0,0,IDLE
1468,0,0,0,0,IDLE
1470,0,0,0,0,IDLE
1470,0,0,0,0,IDLE
1471,0,0,0,0,IDLE
1472,0,0,0,0,IDLE
1473,0,0,0,0,IDLE
1474,0,0,0,0,IDLE
1475,0,0,0,0,IDLE
1475,0,0,0,0,IDLE
1476,0,0,0,0,IDLE
1477,0,0,0,0,IDLE
1478,0,0,0,0,IDLE
1479,0,0,0,0,IDLE
1480,0,0,0,0,IDLE
1480,0,0,0,0,IDLE
1481,0,0,0,0,IDLE
1482,0,0,0,0,IDLE
1483,0,0,0,0,IDLE
1484,0,0,0,0,IDLE
1485,0,0,0,0,IDLE
1486,0,0,0,0,IDLE
1487,0,0,0,0,IDLE
1488,0,0,0,0,IDLE
1489,0,0,0,0,IDLE
1490,0,0,0,0,IDLE
1490,0,0,0,0,IDLE
1491,0,0,0,0,IDLE
1492,0,0,0,0,IDLE
1493,0,0,0,0,IDLE
1494,0,0,0,0,IDLE
1495,0,0,0,0,IDLE
1496,0,0,0,0,IDLE
1496,0,0,0,0,IDLE
1497,0,0,0,0,IDLE
1498,0,0,0,0,IDLE
1499,0,0,0,0,IDLE
1500,0,0,0,0,IDLE
1501,0,0,0,0,IDLE
1502,0,0,0,0,IDLE
1504,0,0,0,0,IDLE
1505,0,0,0,0,IDLE
1506,0,0,0,0,IDLE
1507,0,0,0,0,IDLE
1508,0,0,0,0,IDLE
1509,0,0,0,0,IDLE
1510,0,0,0,0,IDLE
1510,0,0,0,0,IDLE
1511,0,0,0,0,IDLE
1512,0,0,0,0,IDLE
1513,0,0,0,0,IDLE
1514,0,0,0,0,IDLE
1515,0,0,0,0,IDLE
1516,0,0,0,0,IDLE
1517,0,0,0,0,IDLE
1517,0,0,0,0,IDLE
1518,0,0,0,0,IDLE
1519,0,0,0,0,IDLE
1520,0,0,0,0,IDLE
1521,0,0,0,0,IDLE
1522,0,0,0,0,IDLE
1522,0,0,0,0,IDLE
1523,0,0,0,0,IDLE
1524,0,0,0,0,IDLE
1525,0,0,0,0,IDLE
1526,0,0,0,0,IDLE
1527,0,0,0,0,IDLE
1528,0,0,0,0,IDLE
1528,0,0,0,0,IDLE
1529,0,0,0,0,IDLE
1530,0,0,0,0,IDLE
1531,0,0,0,0,IDLE
1532,0,0,0,0,IDLE
1533,0,0,0,0,IDLE
1534,0,0,0,0,IDLE
1534,0,0,0,0,IDLE
1535,0,0,0,0,IDLE
1536,0,0,0,0,IDLE
1537,0,0,0,0,IDLE
1538,0,0,0,0,IDLE
1539,0,0,0,0,IDLE
1540,0,0,0,0,IDLE
1541,0,0,0,0,IDLE
1542,0,0,0,0,IDLE
1542,0,0,0,0,IDLE
1543,0,0,0,0,IDLE
1544,0,0,0,0,IDLE
1545,0,0,0,0,IDLE
1546,0,0,0,0,IDLE
1547,0,0,0,0,IDLE
1548,0,0,0,0,IDLE
1549,0,0,0,0,IDLE
1550,0,0,0,0,IDLE
1551,0,0,0,0,IDLE
1552,0,0,0,0,IDLE
1552,0,0,0,0,IDLE
1553,0,0,0,0,IDLE
1554,0,0,0,0,IDLE
1555,0,0,0,0,IDLE
1556,0,0,0,0,IDLE
1557,0,0,0,0,IDLE
1558,0,0,0,0,IDLE
1560,0,0,0,0,IDLE
1561,0,0,0,0,IDLE
1561,0,0,0,0,IDLE
1562,0,0,0,0,IDLE
1563,0,0,0,0,IDLE
1564,0,0,0,0,IDLE
1565,0,0,0,0,IDLE
1566,0,0,0,0,IDLE
1567,0,0,0,0,IDLE
1568,0,0,0,0,IDLE
1569,0,0,0,0,IDLE
1570,0,0,0,0,IDLE
1571,0,0,0,0,IDLE
1571,0,0,0,0,IDLE
1572,0,0,0,0,IDLE
1573,0,0,0,0,IDLE
1575,0,0,0,0,IDLE
1576,0,0,0,0,IDLE
1577,0,0,0,0,IDLE
1578,0,0,0,0,IDLE
1579,0,0,0,0,IDLE
1579,0,0,0,0,IDLE
1581,0,0,0,0,IDLE
1582,0,0,0,0,IDLE
1583,0,0,0,0,IDLE
1583,0,0,0,0,IDLE
1584,0,0,0,0,IDLE
1585,0,0,0,0,IDLE
1586,0,0,0,0,IDLE
1587,0,0,0,0,IDLE
1588,0,0,0,0,IDLE
1589,0,0,0,0,IDLE
1590,0,0,0,0,IDLE
1591,0,0,0,0,IDLE
1592,0,0,0,0,IDLE
1593,0,0,0,0,IDLE
1594,0,0,0,0,IDLE
1595,0,0,0,0,IDLE
1597,0,0,0,0,IDLE
1598,0,0,0,0,IDLE
1599,0,0,0,0,IDLE
1600,0,0,0,0,IDLE
1600,0,0,0,0,IDLE
1601,0,0,0,0,IDLE
1602,0,0,0,0,IDLE
1603,0,0,0,0,IDLE
1604,0,0,0,0,IDLE
1605,0,0,0,0,IDLE
1606,0,0,0,0,IDLE
1607,0,0,0,0,IDLE
1608,0,0,0,0,IDLE
1609,0,0,0,0,IDLE
1610,0,0,0,0,IDLE
1610,0,0,0,0,IDLE
1611,0,0,0,0,IDLE
1612,0,0,0,0,IDLE
1613,0,0,0,0,IDLE
1614,0,0,0,0,IDLE
1615,0,0,0,0,IDLE
1616,0,0,0,0,IDLE
1617,0,0,0,0,IDLE
1618,0,0,0,0,IDLE
1619,0,0,0,0,IDLE
1620,0,0,0,0,IDLE
1620,0,0,0,0,IDLE
1621,0,0,0,0,IDLE
1622,0,0,0,0,IDLE
1623,0,0,0,0,IDLE
1624,0,0,0,0,IDLE
1625,0,0,0,0,IDLE
1626,0,0,0,0,IDLE
1627,0,0,0,0,IDLE
1628,0,0,0,0,IDLE
1629,0,0,0,0,IDLE
1630,0,0,0,0,IDLE
1631,0,0,0,0,IDLE
1632,0,0,0,0,IDLE
1633,0,0,0,0,IDLE
1633,0,0,0,0,IDLE
1634,0,0,0,0,IDLE
1635,0,0,0,0,IDLE
1636,0,0,0,0,IDLE
1637,0,0,0,0,IDLE
1638,0,0,0,0,IDLE
1639,0,0,0,0,IDLE
1640,0,0,0,0,IDLE
1641,0,0,0,0,IDLE
1641,0,0,0,0,IDLE
1642,0,0,0,0,IDLE
1643,0,0,0,0,IDLE
1644,0,0,0,0,IDLE
1645,0,0,0,0,IDLE
1646,0,0,0,0,IDLE
1647,0,0,0,0,IDLE
1647,0,0,0,0,IDLE
1648,0,0,0,0,IDLE
1649,0,0,0,0,IDLE
1650,0,0,0,0,IDLE
1651,0,0,0,0,IDLE
1652,0,0,0,0,IDLE
1653,0,0,0,0,IDLE
1654,0,0,0,0,IDLE
1654,0,0,0,0,IDLE
1655,0,0,0,0,IDLE
1656,0,0,0,0,IDLE
1657,0,0,0,0,IDLE
1658,0,0,0,0,IDLE
1659,0,0,0,0,IDLE
1659,0,0,0,0,IDLE
1660,0,0,0,0,IDLE
1661,0,0,0,0,IDLE
1662,0,0,0,0,IDLE
1663,0,0,0,0,IDLE
1664,0,0,0,0,IDLE
1665,0,0,0,0,IDLE
1666,0,0,0,0,IDLE
1666,0,0,0,0,IDLE
1667,0,0,0,0,IDLE
1668,0,0,0,0,IDLE
1669,0,0,0,0,IDLE
1670,0,0,0,0,IDLE
1671,0,0,0,0,IDLE
1672,0,0,0,0,IDLE
1673,0,0,0,0,IDLE
1673,0,0,0,0,IDLE
1674,0,0,0,0,IDLE
1676,0,0,0,0,IDLE
1677,0,0,0,0,IDLE
1678,0,0,0,0,IDLE
1679,0,0,0,0,IDLE
1680,0,0,0,0,IDLE
1681,0,0,0,0,IDLE
1682,0,0,0,0,IDLE
1683,0,0,0,0,IDLE
1684,0,0,0,0,IDLE
1684,0,0,0,0,IDLE
1685,0,0,0,0,IDLE
1686,0,0,0,0,IDLE
1687,0,0,0,0,IDLE
1688,0,0,0,0,IDLE
1689,0,0,0,0,IDLE
1690,0,0,0,0,IDLE
1690,0,0,0,0,IDLE
1691,0,0,0,0,IDLE
1692,0,0,0,0,IDLE
1693,0,0,0,0,IDLE
1694,0,0,0,0,IDLE
1695,0,0,0,0,IDLE
1695,0,0,0,0,IDLE
1696,0,0,0,0,IDLE
1697,0,0,0,0,IDLE
1698,0,0,0,0,IDLE
1699,0,0,0,0,IDLE
1700,0,0,0,0,IDLE
1701,0,0,0,0,IDLE
1701,0,0,0,0,IDLE
1702,0,0,0,0,IDLE
1703,0,0,0,0,IDLE
1704,0,0,0,0,IDLE
1705,0,0,0,0,IDLE
1706,0,0,0,0,IDLE
1707,0,0,0,0,IDLE
1708,0,0,0,0,IDLE
1708,0,0,0,0,IDLE
1709,0,0,0,0,IDLE
1710,0,0,0,0,IDLE
1711,0,0,0,0,IDLE
1712,0,0,0,0,IDLE
1713,0,0,0,0,IDLE
1714,0,0,0,0,IDLE
1715,0,0,0,0,IDLE
1715,0,0,0,0,IDLE
1716,0,0,0,0,IDLE
1717,0,0,0,0,IDLE
1718,0,0,0,0,IDLE
1719,0,0,0,0,IDLE
1720,0,0,0,0,IDLE
1721,0,0,0,0,IDLE
1722,0,0,0,0,IDLE
1722,0,0,0,0,IDLE
1723,0,0,0,0,IDLE
1724,0,0,0,0,IDLE
1725,0,0,0,0,IDLE
1726,0,0,0,0,IDLE
1727,0,0,0,0,IDLE
1728,0,0,0,0,IDLE
1729,0,0,0,0,IDLE
