t,measureStartTime,full,gain,int_idx,state
TSL2591 found
AW9523 found
202150,0,0,0,0,IDLE
202151,0,0,0,0,IDLE
202152,0,0,0,0,IDLE
202152,0,0,0,0,IDLE
202153,0,0,0,0,IDLE
202154,0,0,0,0,IDLE
202155,0,0,0,0,IDLE
202156,0,0,0,0,IDLE
202157,0,0,0,0,IDLE
202157,0,0,0,0,IDLE
202158,0,0,0,0,IDLE
202159,0,0,0,0,IDLE
202160,0,0,0,0,IDLE
202161,0,0,0,0,IDLE
202162,0,0,0,0,IDLE
202163,0,0,0,0,IDLE
202164,0,0,0,0,IDLE
202164,0,0,0,0,IDLE
202165,0,0,0,0,IDLE
202166,0,0,0,0,IDLE
202167,0,0,0,0,IDLE
202168,0,0,0,0,IDLE
202169,0,0,0,0,IDLE
202170,0,0,0,0,IDLE
202170,0,0,0,0,IDLE
202171,0,0,0,0,IDLE
202172,0,0,0,0,IDLE
202173,0,0,0,0,IDLE
202174,0,0,0,0,IDLE
202175,0,0,0,0,IDLE
202176,0,0,0,0,IDLE
202176,0,0,0,0,IDLE
202177,0,0,0,0,IDLE
202178,0,0,0,0,IDLE
202179,0,0,0,0,IDLE
202180,0,0,0,0,IDLE
202181,0,0,0,0,IDLE
202182,0,0,0,0,IDLE
202183,0,0,0,0,IDLE
202184,0,0,0,0,IDLE
202185,0,0,0,0,IDLE
202186,0,0,0,0,IDLE
202186,0,0,0,0,IDLE
202187,0,0,0,0,IDLE
202188,0,0,0,0,IDLE
202189,0,0,0,0,IDLE
202190,0,0,0,0,IDLE
202191,0,0,0,0,IDLE
202192,0,0,0,0,IDLE
202193,0,0,0,0,IDLE
202194,0,0,0,0,IDLE
202195,0,0,0,0,IDLE
202197,0,0,0,0,IDLE
202198,0,0,0,0,IDLE
202200,0,0,0,0,IDLE
202201,0,0,0,0,IDLE
202202,0,0,0,0,IDLE
202203,0,0,0,0,IDLE
202204,0,0,0,0,IDLE
202205,0,0,0,0,IDLE
202206,0,0,0,0,IDLE
202207,0,0,0,0,IDLE
202208,0,0,0,0,IDLE
202209,0,0,0,0,IDLE
202210,0,0,0,0,IDLE
202211,0,0,0,0,IDLE
202212,0,0,0,0,IDLE
202213,0,0,0,0,IDLE
202214,0,0,0,0,IDLE
202215,0,0,0,0,IDLE
202216,0,0,0,0,IDLE
202217,0,0,0,0,IDLE
202218,0,0,0,0,IDLE
202218,0,0,0,0,IDLE
202219,0,0,0,0,IDLE
202221,0,0,0,0,IDLE
202222,0,0,0,0,IDLE
202223,0,0,0,0,IDLE
202225,0,0,0,0,IDLE
202226,0,0,0,0,IDLE
202226,0,0,0,0,IDLE
202227,0,0,0,0,IDLE
202228,0,0,0,0,IDLE
202229,0,0,0,0,IDLE
202230,0,0,0,0,IDLE
202231,0,0,0,0,IDLE
202232,0,0,0,0,IDLE
202233,0,0,0,0,IDLE
202234,0,0,0,0,IDLE
202235,0,0,0,0,IDLE
202236,0,0,0,0,IDLE
202237,0,0,0,0,IDLE
202238,0,0,0,0,IDLE
202239,0,0,0,0,IDLE
202240,0,0,0,0,IDLE
202241,0,0,0,0,IDLE
202242,0,0,0,0,IDLE
202243,0,0,0,0,IDLE
202244,0,0,0,0,IDLE
202245,0,0,0,0,IDLE
202246,0,0,0,0,IDLE
202247,0,0,0,0,IDLE
202248,0,0,0,0,IDLE
202248,0,0,0,0,IDLE
202249,0,0,0,0,IDLE
202250,0,0,0,0,IDLE
202251,0,0,0,0,IDLE
202253,0,0,0,0,IDLE
202255,0,0,0,0,IDLE
202256,0,0,0,0,IDLE
202257,0,0,0,0,IDLE
202258,0,0,0,0,IDLE
202259,0,0,0,0,IDLE
202260,0,0,0,0,IDLE
202261,0,0,0,0,IDLE
202262,0,0,0,0,IDLE
202263,0,0,0,0,IDLE
202264,0,0,0,0,IDLE
202265,0,0,0,0,IDLE
202266,0,0,0,0,IDLE
202267,0,0,0,0,IDLE
202268,0,0,0,0,IDLE
202269,0,0,0,0,IDLE
202269,0,0,0,0,IDLE
202270,0,0,0,0,IDLE
202271,0,0,0,0,IDLE
202272,0,0,0,0,IDLE
202273,0,0,0,0,IDLE
202274,0,0,0,0,IDLE
202275,0,0,0,0,IDLE
202276,0,0,0,0,IDLE
202277,0,0,0,0,IDLE
202278,0,0,0,0,IDLE
202279,0,0,0,0,IDLE
202280,0,0,0,0,IDLE
202281,0,0,0,0,IDLE
202281,0,0,0,0,IDLE
202282,0,0,0,0,IDLE
202283,0,0,0,0,IDLE
202284,0,0,0,0,IDLE
202285,0,0,0,0,IDLE
202286,0,0,0,0,IDLE
202287,0,0,0,0,IDLE
202288,0,0,0,0,IDLE
202289,0,0,0,0,IDLE
202290,0,0,0,0,IDLE
202291,0,0,0,0,IDLE
202292,0,0,0,0,IDLE
202293,0,0,0,0,IDLE
202294,0,0,0,0,IDLE
202295,0,0,0,0,IDLE
202295,0,0,0,0,IDLE
202296,0,0,0,0,IDLE
202297,0,0,0,0,IDLE
202298,0,0,0,0,IDLE
202299,0,0,0,0,IDLE
202300,0,0,0,0,IDLE
202301,0,0,0,0,IDLE
202302,0,0,0,0,IDLE
202303,0,0,0,0,IDLE
202304,0,0,0,0,IDLE
202305,0,0,0,0,IDLE
202306,0,0,0,0,IDLE
202307,0,0,0,0,IDLE
202308,0,0,0,0,IDLE
202309,0,0,0,0,IDLE
202310,0,0,0,0,IDLE
202311,0,0,0,0,IDLE
202311,0,0,0,0,IDLE
202312,0,0,0,0,IDLE
202313,0,0,0,0,IDLE
202314,0,0,0,0,IDLE
202315,0,0,0,0,IDLE
202316,0,0,0,0,IDLE
202317,0,0,0,0,IDLE
202318,0,0,0,0,IDLE
202319,0,0,0,0,IDLE
202320,0,0,0,0,IDLE
202321,0,0,0,0,IDLE
202322,0,0,0,0,IDLE
202323,0,0,0,0,IDLE
202324,0,0,0,0,IDLE
202324,0,0,0,0,IDLE
202325,0,0,0,0,IDLE
202326,0,0,0,0,IDLE
202327,0,0,0,0,IDLE
202328,0,0,0,0,IDLE
202329,0,0,0,0,IDLE
202330,0,0,0,0,IDLE
202331,0,0,0,0,IDLE
202332,0,0,0,0,IDLE
202333,0,0,0,0,IDLE
202334,0,0,0,0,IDLE
202335,0,0,0,0,IDLE
202336,0,0,0,0,IDLE
202337,0,0,0,0,IDLE
202338,0,0,0,0,IDLE
202339,0,0,0,0,IDLE
202341,0,0,0,0,IDLE
202342,0,0,0,0,IDLE
202342,0,0,0,0,IDLE
202343,0,0,0,0,IDLE
202344,0,0,0,0,IDLE
202345,0,0,0,0,IDLE
202346,0,0,0,0,IDLE
202347,0,0,0,0,IDLE
202348,0,0,0,0,IDLE
202349,0,0,0,0,IDLE
202350,0,0,0,0,IDLE
202351,0,0,0,0,IDLE
202352,0,0,0,0,IDLE
202353,0,0,0,0,IDLE
202354,0,0,0,0,IDLE
202355,0,0,0,0,IDLE
202356,0,0,0,0,IDLE
202358,0,0,0,0,IDLE
202359,0,0,0,0,IDLE
202359,0,0,0,0,IDLE
202360,0,0,0,0,IDLE
202361,0,0,0,0,IDLE
202362,0,0,0,0,IDLE
202363,0,0,0,0,IDLE
202364,0,0,0,0,IDLE
202365,0,0,0,0,IDLE
202366,0,0,0,0,IDLE
202367,0,0,0,0,IDLE
202368,0,0,0,0,IDLE
202369,0,0,0,0,IDLE
202370,0,0,0,0,IDLE
202371,0,0,0,0,IDLE
202372,0,0,0,0,IDLE
202372,0,0,0,0,IDLE
202373,0,0,0,0,IDLE
202374,0,0,0,0,IDLE
202375,0,0,0,0,IDLE
202376,0,0,0,0,IDLE
202377,0,0,0,0,IDLE
202378,0,0,0,0,IDLE
202379,0,0,0,0,IDLE
202380,0,0,0,0,IDLE
202381,0,0,0,0,IDLE
202382,0,0,0,0,IDLE
202383,0,0,0,0,IDLE
202384,0,0,0,0,IDLE
202384,0,0,0,0,IDLE
202385,0,0,0,0,IDLE
202386,0,0,0,0,IDLE
202387,0,0,0,0,IDLE
202388,0,0,0,0,IDLE
202389,0,0,0,0,IDLE
202391,0,0,0,0,IDLE
202392,0,0,0,0,IDLE
202393,0,0,0,0,IDLE
202394,0,0,0,0,IDLE
202395,0,0,0,0,IDLE
202396,0,0,0,0,IDLE
202397,0,0,0,0,IDLE
202398,0,0,0,0,IDLE
202399,0,0,0,0,IDLE
202399,0,0,0,0,IDLE
202400,0,0,0,0,IDLE
202401,0,0,0,0,IDLE
202402,0,0,0,0,IDLE
202403,0,0,0,0,IDLE
202404,0,0,0,0,IDLE
202405,0,0,0,0,IDLE
202406,0,0,0,0,IDLE
202406,0,0,0,0,IDLE
202407,0,0,0,0,IDLE
202408,0,0,0,0,IDLE
202409,0,0,0,0,IDLE
202410,0,0,0,0,IDLE
202411,0,0,0,0,IDLE
202412,0,0,0,0,IDLE
202413,0,0,0,0,IDLE
202413,0,0,0,0,IDLE
202414,0,0,0,0,IDLE
202415,0,0,0,0,IDLE
202416,0,0,0,0,IDLE
202417,0,0,0,0,IDLE
202418,0,0,0,0,IDLE
202419,0,0,0,0,IDLE
202420,0,0,0,0,IDLE
202421,0,0,0,0,IDLE
202421,0,0,0,0,IDLE
202422,0,0,0,0,IDLE
202423,0,0,0,0,IDLE
202424,0,0,0,0,IDLE
202425,0,0,0,0,IDLE
202426,0,0,0,0,IDLE
202427,0,0,0,0,IDLE
202428,0,0,0,0,IDLE
202428,0,0,0,0,IDLE
202429,0,0,0,0,IDLE
202430,0,0,0,0,IDLE
202431,0,0,0,0,IDLE
202432,0,0,0,0,IDLE
202433,0,0,0,0,IDLE
202434,0,0,0,0,IDLE
202435,0,0,0,0,IDLE
202436,0,0,0,0,IDLE
202436,0,0,0,0,IDLE
202437,0,0,0,0,IDLE
202438,0,0,0,0,IDLE
202439,0,0,0,0,IDLE
202440,0,0,0,0,IDLE
202442,0,0,0,0,IDLE
202443,0,0,0,0,IDLE
202445,0,0,0,0,IDLE
202446,0,0,0,0,IDLE
202448,0,0,0,0,IDLE
202449,0,0,0,0,IDLE
202450,0,0,0,0,IDLE
202451,0,0,0,0,IDLE
202452,0,0,0,0,IDLE
202453,0,0,0,0,IDLE
202455,0,0,0,0,IDLE
202456,0,0,0,0,IDLE
202457,0,0,0,0,IDLE
202458,0,0,0,0,IDLE
202458,0,0,0,0,IDLE
202459,0,0,0,0,IDLE
202460,0,0,0,0,IDLE
202461,0,0,0,0,IDLE
202462,0,0,0,0,IDLE
202463,0,0,0,0,IDLE
202464,0,0,0,0,IDLE
202465,0,0,0,0,IDLE
202466,0,0,0,0,IDLE
202468,0,0,0,0,IDLE
202469,0,0,0,0,IDLE
202470,0,0,0,0,IDLE
202471,0,0,0,0,IDLE
202472,0,0,0,0,IDLE
202473,0,0,0,0,IDLE
202474,0,0,0,0,IDLE
202476,0,0,0,0,IDLE
202477,0,0,0,0,IDLE
202478,0,0,0,0,IDLE
202479,0,0,0,0,IDLE
202480,0,0,0,0,IDLE
202481,0,0,0,0,IDLE
202482,0,0,0,0,IDLE
202483,0,0,0,0,IDLE
202484,0,0,0,0,IDLE
202484,0,0,0,0,IDLE
202485,0,0,0,0,IDLE
202486,0,0,0,0,IDLE
202487,0,0,0,0,IDLE
202488,0,0,0,0,IDLE
202489,0,0,0,0,IDLE
202490,0,0,0,0,IDLE
202491,0,0,0,0,IDLE
202493,0,0,0,0,IDLE
202495,0,0,0,0,IDLE
202496,0,0,0,0,IDLE
202497,0,0,0,0,IDLE
202498,0,0,0,0,IDLE
202500,0,0,0,0,IDLE
202501,0,0,0,0,IDLE
202502,0,0,0,0,IDLE
202503,0,0,0,0,IDLE
202505,0,0,0,0,IDLE
202506,0,0,0,0,IDLE
202506,0,0,0,0,IDLE
202507,0,0,0,0,IDLE
202508,0,0,0,0,IDLE
202509,0,0,0,0,IDLE
202510,0,0,0,0,IDLE
202511,0,0,0,0,IDLE
202512,0,0,0,0,IDLE
202513,0,0,0,0,IDLE
202514,0,0,0,0,IDLE
202515,0,0,0,0,IDLE
202516,0,0,0,0,IDLE
202517,0,0,0,0,IDLE
202518,0,0,0,0,IDLE
202519,0,0,0,0,IDLE
202519,0,0,0,0,IDLE
202520,0,0,0,0,IDLE
202521,0,0,0,0,IDLE
202522,0,0,0,0,IDLE
202523,0,0,0,0,IDLE
202524,0,0,0,0,IDLE
202525,0,0,0,0,IDLE
202526,0,0,0,0,IDLE
202527,0,0,0,0,IDLE
202528,0,0,0,0,IDLE
202529,0,0,0,0,IDLE
202530,0,0,0,0,IDLE
202531,0,0,0,0,IDLE
202531,0,0,0,0,IDLE
202532,0,0,0,0,IDLE
202533,0,0,0,0,IDLE
202534,0,0,0,0,IDLE
202535,0,0,0,0,IDLE
202536,0,0,0,0,IDLE
202537,0,0,0,0,IDLE
202538,0,0,0,0,IDLE
202539,0,0,0,0,IDLE
202540,0,0,0,0,IDLE
202541,0,0,0,0,IDLE
202542,0,0,0,0,IDLE
202542,0,0,0,0,IDLE
