t,measureStartTime,full,gain,int_idx,state
TSL2591 found,0,0,0,0,SETUP
AW9523 found,0,0,0,0,SETUP
8424,0,0,0,0,IDLE
8425,0,0,0,0,IDLE
8426,0,0,0,0,IDLE
8428,0,0,0,0,IDLE
8429,0,0,0,0,IDLE
8431,0,0,0,0,IDLE
8432,0,0,0,0,IDLE
8433,0,0,0,0,IDLE
8434,0,0,0,0,IDLE
8435,0,0,0,0,IDLE
8436,0,0,0,0,IDLE
8437,0,0,0,0,IDLE
8439,0,0,0,0,IDLE
8441,0,0,0,0,IDLE
8442,0,0,0,0,IDLE
8443,0,0,0,0,IDLE
8445,0,0,0,0,IDLE
8447,0,0,0,0,IDLE
8448,0,0,0,0,IDLE
8450,0,0,0,0,IDLE
8451,0,0,0,0,IDLE
8452,0,0,0,0,IDLE
8453,0,0,0,0,IDLE
8455,0,0,0,0,IDLE
8456,0,0,0,0,IDLE
8459,0,0,0,0,IDLE
8460,0,0,0,0,IDLE
8461,0,0,0,0,IDLE
8463,0,0,0,0,IDLE
8464,0,0,0,0,IDLE
8465,0,0,0,0,IDLE
8467,0,0,0,0,IDLE
8469,0,0,0,0,IDLE
8470,0,0,0,0,IDLE
8472,0,0,0,0,IDLE
8474,0,0,0,0,IDLE
8475,0,0,0,0,IDLE
8476,0,0,0,0,IDLE
8477,0,0,0,0,IDLE
8478,0,0,0,0,IDLE
8479,0,0,0,0,IDLE
8480,0,0,0,0,IDLE
8482,0,0,0,0,IDLE
8483,0,0,0,0,IDLE
8484,0,0,0,0,IDLE
8485,0,0,0,0,IDLE
8487,0,0,0,0,IDLE
8488,0,0,0,0,IDLE
8489,0,0,0,0,IDLE
8490,0,0,0,0,IDLE
8491,0,0,0,0,IDLE
8492,0,0,0,0,IDLE
8493,0,0,0,0,IDLE
8495,0,0,0,0,IDLE
8496,0,0,0,0,IDLE
8497,0,0,0,0,IDLE
8498,0,0,0,0,IDLE
8500,0,0,0,0,IDLE
8501,0,0,0,0,IDLE
8502,0,0,0,0,IDLE
8503,0,0,0,0,IDLE
8505,0,0,0,0,IDLE
8506,0,0,0,0,IDLE
8507,0,0,0,0,IDLE
8508,0,0,0,0,IDLE
8510,0,0,0,0,IDLE
8511,0,0,0,0,IDLE
8512,0,0,0,0,IDLE
8513,0,0,0,0,IDLE
8515,0,0,0,0,IDLE
8516,0,0,0,0,IDLE
8517,0,0,0,0,IDLE
8519,0,0,0,0,IDLE
