t,measureStartTime,full,gain,int_idx,state
TSL2591 found,0,0,0,0,SETUP
AW9523 found,0,0,0,0,SETUP
3102,0,0,0,0,IDLE
3103,0,0,0,0,IDLE
3104,0,0,0,0,IDLE
3106,0,0,0,0,IDLE
3107,0,0,0,0,IDLE
3108,0,0,0,0,IDLE
3109,0,0,0,0,IDLE
3111,0,0,0,0,IDLE
3112,0,0,0,0,IDLE
3114,0,0,0,0,IDLE
3115,0,0,0,0,IDLE
3116,0,0,0,0,IDLE
3118,0,0,0,0,IDLE
3119,0,0,0,0,IDLE
3120,0,0,0,0,IDLE
3121,0,0,0,0,IDLE
3122,0,0,0,0,IDLE
3124,0,0,0,0,IDLE
3125,0,0,0,0,IDLE
3127,0,0,0,0,IDLE
3128,0,0,0,0,IDLE
3129,0,0,0,0,IDLE
3131,0,0,0,0,IDLE
3132,0,0,0,0,IDLE
3133,0,0,0,0,IDLE
3134,0,0,0,0,IDLE
3135,0,0,0,0,IDLE
3137,0,0,0,0,IDLE
3138,0,0,0,0,IDLE
3139,0,0,0,0,IDLE
3140,0,0,0,0,IDLE
3141,0,0,0,0,IDLE
3143,0,0,0,0,IDLE
3144,0,0,0,0,IDLE
3145,0,0,0,0,IDLE
3146,0,0,0,0,IDLE
3147,0,0,0,0,IDLE
3148,0,0,0,0,IDLE
3150,0,0,0,0,IDLE
3151,0,0,0,0,IDLE
3152,0,0,0,0,IDLE
3154,0,0,0,0,IDLE
3155,0,0,0,0,IDLE
3156,0,0,0,0,IDLE
3157,0,0,0,0,IDLE
3159,0,0,0,0,IDLE
3161,0,0,0,0,IDLE
3162,0,0,0,0,IDLE
3163,0,0,0,0,IDLE
3165,0,0,0,0,IDLE
3166,0,0,0,0,IDLE
3167,0,0,0,0,IDLE
3168,0,0,0,0,IDLE
3169,0,0,0,0,IDLE
3170,0,0,0,0,IDLE
3171,0,0,0,0,IDLE
3173,0,0,0,0,IDLE
3174,0,0,0,0,IDLE
3175,0,0,0,0,IDLE
3176,0,0,0,0,IDLE
3177,0,0,0,0,IDLE
3179,0,0,0,0,IDLE
3180,0,0,0,0,IDLE
3181,0,0,0,0,IDLE
3183,0,0,0,0,IDLE
3184,0,0,0,0,IDLE
3185,0,0,0,0,IDLE
3186,0,0,0,0,IDLE
3188,0,0,0,0,IDLE
3189,0,0,0,0,IDLE
3190,0,0,0,0,IDLE
3192,0,0,0,0,IDLE
3193,0,0,0,0,IDLE
