t,measureStartTime,full,gain,int_idx,state
TSL2591 found,0,0,0,0,SETUP
AW9523 found,0,0,0,0,SETUP
14366,0,0,0,0,IDLE
14367,0,0,0,0,IDLE
14369,0,0,0,0,IDLE
14371,0,0,0,0,IDLE
14372,0,0,0,0,IDLE
14375,0,0,0,0,IDLE
14376,0,0,0,0,IDLE
14378,0,0,0,0,IDLE
14380,0,0,0,0,IDLE
14381,0,0,0,0,IDLE
14382,0,0,0,0,IDLE
14383,0,0,0,0,IDLE
14384,0,0,0,0,IDLE
14385,0,0,0,0,IDLE
14386,0,0,0,0,IDLE
14387,0,0,0,0,IDLE
14389,0,0,0,0,IDLE
14391,0,0,0,0,IDLE
14392,0,0,0,0,IDLE
14394,0,0,0,0,IDLE
14396,0,0,0,0,IDLE
14397,0,0,0,0,IDLE
14399,0,0,0,0,IDLE
14400,0,0,0,0,IDLE
14402,0,0,0,0,IDLE
14403,0,0,0,0,IDLE
14405,0,0,0,0,IDLE
14406,0,0,0,0,IDLE
14408,0,0,0,0,IDLE
14409,0,0,0,0,IDLE
14410,0,0,0,0,IDLE
14411,0,0,0,0,IDLE
14413,0,0,0,0,IDLE
14414,0,0,0,0,IDLE
14415,0,0,0,0,IDLE
14417,0,0,0,0,IDLE
14418,0,0,0,0,IDLE
14420,0,0,0,0,IDLE
14423,0,0,0,0,IDLE
14425,0,0,0,0,IDLE
14427,0,0,0,0,IDLE
14429,0,0,0,0,IDLE
14430,0,0,0,0,IDLE
14432,0,0,0,0,IDLE
14433,0,0,0,0,IDLE
14435,0,0,0,0,IDLE
14436,0,0,0,0,IDLE
14439,0,0,0,0,IDLE
14441,0,0,0,0,IDLE
14443,0,0,0,0,IDLE
14445,0,0,0,0,IDLE
14447,0,0,0,0,IDLE
14449,0,0,0,0,IDLE
14451,0,0,0,0,IDLE
14452,0,0,0,0,IDLE
14453,0,0,0,0,IDLE
14454,0,0,0,0,IDLE
14455,0,0,0,0,IDLE
14457,0,0,0,0,IDLE
14458,0,0,0,0,IDLE
14460,0,0,0,0,IDLE
14461,0,0,0,0,IDLE
14462,0,0,0,0,IDLE
14464,0,0,0,0,IDLE
14465,0,0,0,0,IDLE
14467,0,0,0,0,IDLE
14468,0,0,0,0,IDLE
14469,0,0,0,0,IDLE
14470,0,0,0,0,IDLE
14472,0,0,0,0,IDLE
14473,0,0,0,0,IDLE
14475,0,0,0,0,IDLE
14476,0,0,0,0,IDLE
